Oda Sicil No,Ticari Sicil No,Şirket Türü,Mahalle Adı,İlçe Adı,Meslek Grubu Numarası,Meslek Grubu Adı,Ünvanı,Tescilli Adresi
1635931,177471,LİMİTED,BAHRİYE ÜÇOK,KARŞIYAKA,40,MEDYA VE FOTOĞRAFÇILIK GRUBU,3A MEDYA PAZARLAMA AJANSI MİMARLIK MÜHENDİSLİK VE TİCARET LİMİTED ŞİRKETİ,BAHRİYE ÜÇOK MAHALLESİ RÜŞTÜ ŞARDAĞ CADDESİ NO:72/A KARŞIYAKA/İZMİR
2000471,214035,LİMİTED,ADALET,BAYRAKLI,40,MEDYA VE FOTOĞRAFÇILIK GRUBU,A3 DANIŞMANLIK MEDYA HİZMETLERİ LİMİTED ŞİRKETİ ,ADALET MAHALLESİ MANAS FOLKART TOWERS BLOK NO: 47B İÇ KAPI NO: 26 BAYRAKLI / İZMİR
1050971,117105,ANONİM,KAZIMDİRİK,BORNOVA,40,MEDYA VE FOTOĞRAFÇILIK GRUBU,ABT ENDÜSTRİ ENERJİ SİSTEMLERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,KAZIMDİRİK MAH. 284 SK. NO: 2 İÇ KAPI NO: 108 BORNOVA / İZMİR
1075561,119993,LİMİTED,AKDENİZ,KONAK,40,MEDYA VE FOTOĞRAFÇILIK GRUBU,ADD GAZETECİLİK BASIN YAYIN DAĞITIM REKLAM MİMARLIK MÜHENDİSLİK İNŞAAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,AKDENİZ MAHALLESİ CUMHURİYET BLV. NO: 45/71 KONAK/İZMİR
2230001,237142,LİMİTED,ÇINARLI,KONAK,40,MEDYA VE FOTOĞRAFÇILIK GRUBU,AGREGA POST PRODÜKSİYON DİJİTAL MEDYA ÜRETİMİ TİCARET VE LİMİTED  ŞİRKETİ,ÇINARLI MAHALLESİ 1587/1 SOKAK YILDIZ İŞ MERKEZİ BLOK NO: 4/1E KONAK / İZMİR
2291301,243338,LİMİTED,KORUTÜRK,BALÇOVA,40,MEDYA VE FOTOĞRAFÇILIK GRUBU,AGROMEDYA YAYINCILIK TANITIM HİZMETLERİ VE TARIM ÜRÜNLERİ İTHALAT  İHRACAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,KORUTÜRK MAHALLESİ BORA SOK. NO:13 KAÇMAZ BLOK DAİRE:11 BALÇOVA / İZMİR
2268871,241060,LİMİTED,ERZENE,BORNOVA,40,MEDYA VE FOTOĞRAFÇILIK GRUBU,AKL PRODÜKSİYON REKLAM VE YAYIMCILIK LİMİTED ŞİRKETİ ,ERZENE MAHALLESİ GENÇLİK CADDESİ NO:11 BORNOVA / İZMİR
2157361,229807,ANONİM,AKDENİZ,KONAK,40,MEDYA VE FOTOĞRAFÇILIK GRUBU,ALA BASIN YAYIN MEDYA YAYINCILIK İLETİŞİM SANAYİ VE TİCARET ANONİM  ŞİRKETİ,AKDENİZ MAHALLESİ 1337 SOKAK ASHAN BLOK NO: 16 İÇ KAPI NO: 701 KONAK / İZMİR
2049981,219031,ANONİM,AKSOY,KARŞIYAKA,40,MEDYA VE FOTOĞRAFÇILIK GRUBU,ALAFORA YAZILIM VE TASARIM HİZMETLERİ TİCARET SANAYİ ANONİM  ŞİRKETİ,AKSOY MAHALLESİ CEMAL GÜRSEL CADDESİ NO: 386 İÇ KAPI NO: 2 KARŞIYAKA / İZMİR
2306097,256047,ANONİM,ADALET,BAYRAKLI,40,MEDYA VE FOTOĞRAFÇILIK GRUBU,ALFA E DÖNÜŞÜM YAZILIM ANONİM ŞİRKETİ,ADALET MAH. MANAS BUL. NO: 39 İÇ KAPI NO: 3201 BAYRAKLI / İZMİR
1975241,211507,LİMİTED,İSMET KAPTAN,KONAK,40,MEDYA VE FOTOĞRAFÇILIK GRUBU,ALSANCAK YAYIN DAĞITIM GAYRİMENKUL DANIŞMANLIĞI İNŞAAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,İSMET KAPTAN MAHALLESİ 1372 SK. NO: 19/41 KONAK/İZMİR
1854631,199347,ANONİM,SEKİZ EYLÜL,KEMALPAŞA,40,MEDYA VE FOTOĞRAFÇILIK GRUBU,ALV PRODÜKSİYON SİNEMA TURİZM İNŞAAT SANAYİ VE TİCARET ANONİM  ŞİRKETİ KEMALPAŞA ŞUBESİ,SEKİZ EYLÜL MAHALLESİ KEMALPAŞA STADI CAD. NO:15/8 KEMALPAŞA / İZMİR
2281811,242368,LİMİTED,BASIN SİTESİ,KARABAĞLAR,40,MEDYA VE FOTOĞRAFÇILIK GRUBU,ANTVFX ANİMASYON VE MEDYA HİZMETLERİ SANAYİ TİCARET LİMİTED ŞİRKETİ,BASIN SİTESİ MAH. 172 SK. YAMAÇ BLOK NO: 40 İÇ KAPI NO: 5 KARABAĞLAR / İZMİR
2306872,256826,LİMİTED,ÇETİN EMEÇ,BALÇOVA,40,MEDYA VE FOTOĞRAFÇILIK GRUBU,APOLLON MEDYA LİMİTED ŞİRKETİ,ÇETİN EMEÇ MAH. UNIVERSIADE CAD. OLİMPİYAT KÖYÜ SİTESİ 47.BLOK NO: 53 İÇ KAPI NO: 13 BALÇOVA / İZMİR
1757551,189525,ANONİM,ADALET,BAYRAKLI,40,MEDYA VE FOTOĞRAFÇILIK GRUBU,ARES TIBBİ CİHAZLAR BASIN YAYIN İNŞAAT TEKSTİL KUYUMCULUK GIDA  TEMİZLİK ANONİM ŞİRKETİ,ADALET MAHALLESİ ANADOLU CADDESİ NO: 41 /1/1802 BAYRAKLI / İZMİR
2024051,216416,ANONİM,ADALET,BAYRAKLI,40,MEDYA VE FOTOĞRAFÇILIK GRUBU,ARGO YAPIM PRODÜKSİYON ORGANİZASYON TİCARET ANONİM ŞİRKETİ,ADALET MAHALLESİ ANADOLU CAD. MEGAPOL TOWER APT. NO: 41/081 BAYRAKLI/İZMİR
2303359,253299,LİMİTED,AKSOY,KARŞIYAKA,40,MEDYA VE FOTOĞRAFÇILIK GRUBU,ARKHE BASIN YAYINCILIK MEDYA VE ORGANİZASYON TİCARET LİMİTED ŞİRKETİ,AKSOY MAH. YALI BUL. NO: 386 İÇ KAPI NO: 2 KARŞIYAKA / İZMİR
850801,92901,ANONİM,KOCAKAPI,KONAK,40,MEDYA VE FOTOĞRAFÇILIK GRUBU,ARSLAN GÜNEYDOĞU GAZETECİLİK MATBAACILIK VE KAĞITÇILIK ANONİM ŞİRKETİ- İZMİR ŞUBESİ,KOCAKAPI MAHALLESİ GAZİLER CAD. NO:218/31 KONAK / İZMİR
2301366,251304,LİMİTED,ŞİRİNTEPE,ÇİĞLİ,40,MEDYA VE FOTOĞRAFÇILIK GRUBU,ARTECH YAZILIM OTOMASYON BİLİŞİM SANAYİ VE TİCARET LİMİTED ŞİRKETİ,ŞİRİNTEPE MAH. 8132 SK. NO: 20/1 ÇİĞLİ / İZMİR
2112481,225310,ANONİM,ALSANCAK,KONAK,40,MEDYA VE FOTOĞRAFÇILIK GRUBU,ARTI ELEKTRONİK PARA VE ÖDEME HİZMETLERİ ANONİM ŞİRKETİ,ALSANCAK MAH. KIBRIS ŞEHİTLERİ CAD. KAZMİRCİ İŞ MERKEZİ NO: 20 İÇ KAPI NO: 502 KONAK / İZMİR
2138761,227946,LİMİTED,ADALET,BAYRAKLI,40,MEDYA VE FOTOĞRAFÇILIK GRUBU,AS PLUS FİLM TİCARET LİMİTED ŞİRKETİ,ADALET MAH. MANAS BUL. NO: 39 İÇ KAPI NO: 3408 BAYRAKLI / İZMİR
1886451,202555,ANONİM,KONAK,KONAK,40,MEDYA VE FOTOĞRAFÇILIK GRUBU,ATA MATBAACILIK SANAYİ TİCARET ANONİM ŞİRKETİ KEMERALTI ŞUBESİ,KONAK MAHALLESİ 863 SK. NO: 42 A/42 KONAK/İZMİR
1313151,144216,LİMİTED,KARACAOĞLAN,BORNOVA,40,MEDYA VE FOTOĞRAFÇILIK GRUBU,ATAREK REKLAM SANAYİ VE TİCARET LİMİTED ŞİRKETİ ,KARACAOĞLAN MAHALLESİ 6171 SK. NO:2/2 IŞIKLAR ÇARŞISI BORNOVA / İZMİR
2303134,253073,LİMİTED,ADALET,BAYRAKLI,40,MEDYA VE FOTOĞRAFÇILIK GRUBU,ATLAS BASIN YAYIN REKLAM VE TANITIM PAZARLAMA TİCARET LİMİTED ŞİRKETİ,ADALET MAH. MANAS BUL. NO: 39 İÇ KAPI NO: 2511 BAYRAKLI / İZMİR
1886351,202543,LİMİTED,MANSUROĞLU,BAYRAKLI,40,MEDYA VE FOTOĞRAFÇILIK GRUBU,AYAZ MEDYA ORGANİZASYON HİZMETLERİ SANAYİ VE TİCARET LİMİTED  ŞİRKETİ,MANSUROĞLU MAHALLESİ 288/6 SOK. NO:1/19 ÇOLAKOĞLU PLAZA 1 Sit. BAYRAKLI / İZMİR
2117211,225774,LİMİTED,YALI,KARŞIYAKA,40,MEDYA VE FOTOĞRAFÇILIK GRUBU,B CUBE DİJİTAL İLETİŞİM LİMİTED ŞİRKETİ ,YALI MAHALLESİ 6485/2 SOKAK YALIKENT BLOK NO:8 İÇ KAPI NO:6 KARŞIYAKA / İZMİR
542691,95872,ANONİM,FEVZİPAŞA,KONAK,40,MEDYA VE FOTOĞRAFÇILIK GRUBU,BATI RADYO YAYINCILIK ANONİM ŞİRKETİ ,FEVZİPAŞA MAHALLESİ 847/1 SOKAK NO:3/11 KONAK / İZMİR
2288371,243044,LİMİTED,BARBAROS,KONAK,40,MEDYA VE FOTOĞRAFÇILIK GRUBU,BB AYHAN IŞIK PRODÜKSİYON VE YAPIMCILIK LİMİTED ŞİRKETİ,BARBAROS MAHALLESİ MİTHATPAŞA CADDESİ NO:117 KONAK / İZMİR
2298974,248888,ANONİM,KAZIMDİRİK,BORNOVA,40,MEDYA VE FOTOĞRAFÇILIK GRUBU,BE CREATİVE REKLAM OTOMOTİV SANAYİ VE TİCARET ANONİM ŞİRKETİ,KAZIMDİRİK MAH. SANAYİ CAD. NO: 31 İÇ KAPI NO: 112 BORNOVA / İZMİR
2307168,257122,LİMİTED,KAZIMDİRİK,BORNOVA,40,MEDYA VE FOTOĞRAFÇILIK GRUBU,BEETEKNO MEDYA LİMİTED ŞİRKETİ,KAZIMDİRİK MAH. 296 SK. FOLKART TİME BORNOVA SİTESİ NO: 8 İÇ KAPI NO: 912 BORNOVA / İZMİR
2296839,246756,LİMİTED,ŞEMİKLER,KARŞIYAKA,40,MEDYA VE FOTOĞRAFÇILIK GRUBU,BENDO MÜZİK YAPIM PRODÜKSİYON SANAYİ TİCARET LİMİTED ŞİRKETİ,ŞEMİKLER MAH. 6288 SK. NO: 2A KARŞIYAKA / İZMİR
1995781,213574,LİMİTED,UFUK,BUCA,40,MEDYA VE FOTOĞRAFÇILIK GRUBU,BİLİMETİK YAYINCILIK DAĞITIM SANAYİ VE TİCARET LİMİTED ŞİRKETİ ,UFUK MAHALLESİ 1001 SK. NO:48/A BUCA / İZMİR
