Oda Sicil No,Ticari Sicil No,Şirket Türü,Mahalle Adı,İlçe Adı,Meslek Grubu Numarası,Meslek Grubu Adı,Ünvanı,Tescilli Adresi
2233851,237534,ANONİM,ÇINARLI,KONAK,6,"SU ÜRÜNLERİ,BALIKÇILIK VE AV MALZEMELERİ GRUBU",2A SU ÜRÜNLERİ ÜRETİM SANAYİ VE TİCARET ANONİM ŞİRKETİ,ÇINARLI MAHALLESİ ANKARA ASFALTI CAD. NO: 15 İÇ KAPI NO: 421 KONAK / İZMİR
2294644,244546,ANONİM,AOSB,ÇİĞLİ,6,"SU ÜRÜNLERİ,BALIKÇILIK VE AV MALZEMELERİ GRUBU",AB DENİZ ÜRÜNLERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,AOSB MAH. 10039 SK. NO: 25/1 İÇ KAPI NO: 1 ÇİĞLİ / İZMİR
1881321,202043,ANONİM,KEMALPAŞA,BORNOVA,6,"SU ÜRÜNLERİ,BALIKÇILIK VE AV MALZEMELERİ GRUBU",ABALIOĞLU BALIK VE GIDA ÜRÜNLERİ ANONİM ŞİRKETİ PINARBAŞI ŞUBESİ,KEMALPAŞA MAHALLESİ 7412 SOKAK NO:4 BORNOVA / İZMİR
1881331,202042,ANONİM,ALTINTAŞ,URLA,6,"SU ÜRÜNLERİ,BALIKÇILIK VE AV MALZEMELERİ GRUBU",ABALIOĞLU BALIK VE GIDA ÜRÜNLERİ ANONİM ŞİRKETİ URLA ŞUBESİ,ALTINTAŞ MAHALLESİ AHMET BESİM UYAL CADDESİ NO:58 URLA / İZMİR
2134871,227559,LİMİTED,AOSB,ÇİĞLİ,6,"SU ÜRÜNLERİ,BALIKÇILIK VE AV MALZEMELERİ GRUBU",ADA GLOBAL GIDA SANAYİ VE TİCARET LİMİTED ŞİRKETİ ,AOSB MAHALLESİ 10039 SK. NO: 25/1 İÇ KAPI NO: 1 ÇİĞLİ / İZMİR
1441671,1238,ANONİM,KONAK,KONAK,6,"SU ÜRÜNLERİ,BALIKÇILIK VE AV MALZEMELERİ GRUBU",ADA TARIM VE DENİZ ÜRÜNLERİ TURİZM SANAYİ VE TİCARET ANONİM ŞİRKETİ,KONAK MAHALLESİ 871 SK. NO: 5/33 KONAK/İZMİR
2298114,248034,ANONİM,ZAFER,BUCA,6,"SU ÜRÜNLERİ,BALIKÇILIK VE AV MALZEMELERİ GRUBU",ADA TARIM VE DENİZ ÜRÜNLERİ TURİZM SANAYİ VE TİCARET ANONİM ŞİRKETİ BUCA ŞUBESİ,ZAFER MAH. GAFFAR OKKAN SK. NO: 21 İÇ KAPI NO: Z51 BUCA / İZMİR
2222711,236405,LİMİTED,ALSANCAK,KONAK,6,"SU ÜRÜNLERİ,BALIKÇILIK VE AV MALZEMELERİ GRUBU",ADS SU ÜRÜNLERİ LİMİTED ŞİRKETİ ,ALSANCAK MAHALLESİ ENVER DÜNDAR BAŞAR SK. NO: 9 İÇ KAPI NO: 9 KONAK / İZMİR
1753651,189142,ANONİM,İSMET KAPTAN,KONAK,6,"SU ÜRÜNLERİ,BALIKÇILIK VE AV MALZEMELERİ GRUBU",AGROMEY DIŞ TİCARET ANONİM ŞİRKETİ,İSMET KAPTAN MAH. ŞAİR EŞREF BUL. YÖRSAN İŞMERKEZİ BLOK NO: 26 İÇ KAPI NO: 12 KONAK / İZMİR
1200081,133037,ANONİM,İSMET KAPTAN,KONAK,6,"SU ÜRÜNLERİ,BALIKÇILIK VE AV MALZEMELERİ GRUBU",AGROMEY GIDA VE YEM SANAYİ TİCARET ANONİM ŞİRKETİ,İSMET KAPTAN MAH. ŞAİR EŞREF BUL. YÖRSAN İŞMERKEZİ BLOK NO: 26 İÇ KAPI NO: 12 KONAK / İZMİR
1521331,164766,ANONİM,BALIKOVA,URLA,6,"SU ÜRÜNLERİ,BALIKÇILIK VE AV MALZEMELERİ GRUBU",AGROMEY GIDA VE YEM SANAYİ TİCARET ANONİM ŞİRKETİ AKEL 10 BALIK İŞLEME FABRİKA GEMİSİ ŞUBESİ,BALIKOVA MAHALLESİ MAHALLESİ KARAREİS MEVKİİ URLA / İZMİR
2215921,235724,LİMİTED,ATIFBEY,GAZİEMİR,6,"SU ÜRÜNLERİ,BALIKÇILIK VE AV MALZEMELERİ GRUBU",AGUSTO SU ÜRÜNLERİ İTHALAT İHRACAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,ATIFBEY MAH. 67 SK. NO: 33 İÇ KAPI NO: 32 GAZİEMİR / İZMİR
2255511,239708,LİMİTED,ZAFER,BUCA,6,"SU ÜRÜNLERİ,BALIKÇILIK VE AV MALZEMELERİ GRUBU",AHMET SU ÜRÜNLERİ GIDA TARIM HAYVANCILIK İNŞAAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,ZAFER MAH. TURGUT ÖZAL CAD. NO: 60 BUCA / İZMİR
1927751,206713,LİMİTED,EGEMENLİK,BORNOVA,6,"SU ÜRÜNLERİ,BALIKÇILIK VE AV MALZEMELERİ GRUBU",AİDİHUA DENİZ ÜRÜNLERİ GELİŞTİRME SANAYİ VE TİCARET LİMİTED ŞİRKETİ,EGEMENLİK MAHALLESİ 6106/4 SK. BAHAR DÖNMEZ SİT. NO: 15 BORNOVA/İZMİR
2305132,255079,LİMİTED,KURUÇEŞME,BUCA,6,"SU ÜRÜNLERİ,BALIKÇILIK VE AV MALZEMELERİ GRUBU",AKINCILI SU ÜRÜNLERİ ALIM SATIM PAZARLAMA VE DIŞ TİCARET LİMİTED ŞİRKETİ,KURUÇEŞME MAH. 205/39 SK. NO: 11 İÇ KAPI NO: 24 BUCA / İZMİR
1084141,120896,LİMİTED,ZAFER,BUCA,6,"SU ÜRÜNLERİ,BALIKÇILIK VE AV MALZEMELERİ GRUBU",AKMAN BALIKÇILIK SANAYİ VE TİCARET LİMİTED ŞİRKETİ ,ZAFER MAHALLESİ GAFFAR OKKAN SOKAK NO: 21 B/Z22 BUCA / İZMİR
1556231,168260,LİMİTED,ZAFER,BUCA,6,"SU ÜRÜNLERİ,BALIKÇILIK VE AV MALZEMELERİ GRUBU",AKMAN SU ÜRÜNLERİ SOĞUK HAVA DEPOSU TURİZM GIDA İNŞAAT AKARYAKIT AMBALAJ SANAYİ VE TİCARET LİMİTED ŞİRKETİ,ZAFER MAHALLESİ GAFFAR OKAN SOKAK NO: 21 B/Z22- BUCA / İZMİR
2298166,248089,LİMİTED,BAHRİYE ÜÇOK,KARŞIYAKA,6,"SU ÜRÜNLERİ,BALIKÇILIK VE AV MALZEMELERİ GRUBU",AKUATİKA İTHALAT İHRACAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,BAHRİYE ÜÇOK MAH. 1762 SK. NO: 9 İÇ KAPI NO: 1 KARŞIYAKA / İZMİR
