Oda Sicil No,Ticari Sicil No,Şirket Türü,Mahalle Adı,İlçe Adı,Meslek Grubu Numarası,Meslek Grubu Adı,Ünvanı,Tescilli Adresi
2179621,232054,LİMİTED,MANSUROĞLU,BAYRAKLI,18,DERİ KONFEKSİYON VE SARACİYE GRUBU ,4SLN GLOBAL DIŞ TİCARET LİMİTED ŞİRKETİ ,MANSUROĞLU MAHALLESİ 286/1 SOK. NO: 1 İÇ KAPI NO: 215 BAYRAKLI / İZMİR
2174811,231362,ANONİM,BAHÇELERARASI,BALÇOVA,18,DERİ KONFEKSİYON VE SARACİYE GRUBU ,ADESA MAĞAZACILIK TEKSTİL VE DERİ SANAYİ TİCARET ANONİM ŞİRKETİ İZMİR  İSTİNYEPARK TRUNK CO ŞUBESİ,BAHÇELERARASI MAHALLESİ ŞEHİT BİNBAŞI ALİ RESMİ TUFAN CAD. NO: 3 İÇ KAPI NO: Z19 BALÇOVA / İZMİR
1713851,185221,ANONİM,MAVİŞEHİR,KARŞIYAKA,18,DERİ KONFEKSİYON VE SARACİYE GRUBU ,ADESA MAĞAZACILIK TEKSTİL VE DERİ SANAYİ TİCARET ANONİM ŞİRKETİ MAVİBAHÇE ALIŞVERİŞ MERKEZİ TRUNK CO ADESA ŞUBESİ,MAVİŞEHİR MAHALLESİ AZİZ NESİN BULVARI NO:24 KARŞIYAKA / İZMİR
2302402,252329,LİMİTED,ÇINAR,BORNOVA,18,DERİ KONFEKSİYON VE SARACİYE GRUBU ,AĞARTIOĞLU DERİ MAMÜLLERİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ İZMİR ŞUBESİ,ÇINAR MAH. 5003 SK. NO: 1/5 İÇ KAPI NO: 21 BORNOVA / İZMİR
1876291,201540,ANONİM,ÇINAR,BORNOVA,18,DERİ KONFEKSİYON VE SARACİYE GRUBU ,AĞARTIOĞLU KONFEKSİYON DERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,ÇINAR MAHALLESİ 5003 SK. NO: 1 /5/21 BORNOVA/İZMİR
2272751,241459,LİMİTED,IRMAK,GAZİEMİR,18,DERİ KONFEKSİYON VE SARACİYE GRUBU ,AKH DERİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ,IRMAK MAH. 717 SK. B5 BLOK NO: 8/1 İÇ KAPI NO: 8 GAZİEMİR / İZMİR
1139081,126889,LİMİTED,ATIFBEY,GAZİEMİR,18,DERİ KONFEKSİYON VE SARACİYE GRUBU ,AK-MAVİ TURİZM VE TİCARET LİMİTED ŞİRKETİ-İZMİR ŞUBESİ,ATIFBEY MAHALLESİ 2 SOKAK NO: 53 A GAZİEMİR / İZMİR
564881,74045,LİMİTED,GAZİ,GAZİEMİR,18,DERİ KONFEKSİYON VE SARACİYE GRUBU ,AKSANDER DERİ ÜRÜNLERİ VE TEKSTİL SANAYİ VE TİCARET LİMİTED ŞİRKETİ,GAZİ MAH. AKÇAY CAD. NO: 190B GAZİEMİR / İZMİR
1996431,213636,LİMİTED,ETİLER,KONAK,18,DERİ KONFEKSİYON VE SARACİYE GRUBU ,ALVADONNA DERİ GİYİM SANAYİ VE TİCARET LİMİTED ŞİRKETİ ,ETİLER MAHALLESİ 1265 SOK. NO: 6/11 KONAK / İZMİR
2127361,226804,LİMİTED,ADATEPE,BUCA,18,DERİ KONFEKSİYON VE SARACİYE GRUBU ,ANNJEA LEATHER GOODS DERİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ,ADATEPE MAH. 3/18 SK. S.S.EGETEKS.KOOP SİTESİ NO: 1T BUCA / İZMİR
2286191,242820,LİMİTED,BOSTANLI,KARŞIYAKA,18,DERİ KONFEKSİYON VE SARACİYE GRUBU ,ARIADNE TEKSTİL VE TURİZM TİCARET LİMİTED ŞİRKETİ,BOSTANLI MAHALLESİ 2014 SK. NO: 13A KARŞIYAKA / İZMİR
396441,58303,LİMİTED,9 EYLÜL,GAZİEMİR,18,DERİ KONFEKSİYON VE SARACİYE GRUBU ,ARTKIY DERİ MAMÜLLERİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ,9 EYLÜL MAHALLESİ 698 SOK. NO:7 GAZİEMİR/İZMİR
