Oda Sicil No,Ticari Sicil No,Şirket Türü,Mahalle Adı,İlçe Adı,Meslek Grubu Numarası,Meslek Grubu Adı,Ünvanı,Tescilli Adresi
2298242,248134,LİMİTED,İSMET KAPTAN,KONAK,29,TELEKOMÜNİKASYON GRUBU,5K İLETİŞİM TEKNOLOJİ LİMİTED ŞİRKETİ İZMİR ŞUBESİ,İSMET KAPTAN MAH. ŞAİR EŞREF BUL. ALTAY NO: 18D KONAK / İZMİR
2129131,226975,LİMİTED,İSMET KAPTAN,KONAK,29,TELEKOMÜNİKASYON GRUBU,AFAG TİCARET İTHALAT İHRACAT LİMİTED ŞİRKETİ,İSMET KAPTAN MAH. 1369 SK. TANAÇAN BLOK NO: 40B KONAK / İZMİR
2295838,245753,LİMİTED,İSMET KAPTAN,KONAK,29,TELEKOMÜNİKASYON GRUBU,AĞAR TELEFON OTOMOTİV İNŞAAT SANAYİ TİCARET LİMİTED ŞİRKETİ,İSMET KAPTAN MAH. 1369 SK. İLKCAN İŞ MERKEZİ NO: 41A İÇ KAPI NO: 41A KONAK / İZMİR
1561791,168821,LİMİTED,KARABAĞLAR,KARABAĞLAR,29,TELEKOMÜNİKASYON GRUBU,AİRTEL BİLİŞİM TEKNOLOJİ HİZMETLERİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ,KARABAĞLAR MAH. 5758/2 SK. NO: 2M KARABAĞLAR / İZMİR
2160621,230141,LİMİTED,BAHÇELİEVLER,KARABAĞLAR,29,TELEKOMÜNİKASYON GRUBU,AİS ELEKTRONİK GIDA SANAYİ VE TİCARET LİMİTED ŞİRKETİ,BAHÇELİEVLER MAH. SAİM ÇIKRIKÇI CAD. NO: 26B KARABAĞLAR / İZMİR
513361,70065,LİMİTED,İSMET KAPTAN,KONAK,29,TELEKOMÜNİKASYON GRUBU,AKKAYA İLETİŞİM VE BİLİŞİM TEKNOLOJİLERİ SAATÇİLİK SANAYİ TİCARET LİMİTED ŞİRKETİ,İSMET KAPTAN MAHALLESİ 1363 SOKAK YETKİN IŞ HANI Apt. NO: 14/B10 KONAK / İZMİR
1180311,131241,LİMİTED,KONAK,KONAK,29,TELEKOMÜNİKASYON GRUBU,AKROK DAYANIKLI TÜKETİM MALLARI TİCARET LİMİTED ŞİRKETİ ,KONAK MAHALLESİ 856 SOKAK SALİHAĞA İŞHANI BLOK NO: 5D KONAK / İZMİR
1834761,197331,ANONİM,KAZIMDİRİK,BORNOVA,29,TELEKOMÜNİKASYON GRUBU,AKSESUARPARK BİLİŞİM TEKNOLOJİLERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,KAZIMDİRİK MAH. 372 SK. FORUM SİTESİ -/A2BLOK NO: 36 BORNOVA / İZMİR
2055881,219617,LİMİTED,HACI İSA,URLA,29,TELEKOMÜNİKASYON GRUBU,ALFALFA GLOBAL BİLGİ TEKNOLOJİLERİ DANIŞMANLIK PAZARLAMA TİCARET LİMİTED ŞİRKETİ,HACI İSA MAHALLESİ 75. YIL CUMHURİYET CAD. NO: 5/2 URLA / İZMİR
2234881,237641,LİMİTED,İSMET KAPTAN,KONAK,29,TELEKOMÜNİKASYON GRUBU,ALKAN İLETİŞİM SİSTEMLERİ TURİZM İNŞAAT LİMİTED ŞİRKETİ,İSMET KAPTAN MAH. 1367 SK. YAZGILI İŞ MERKEZİ NO: 18 İÇ KAPI NO: 310 KONAK / İZMİR
691071,71480,LİMİTED,KARABAĞLAR,KARABAĞLAR,29,TELEKOMÜNİKASYON GRUBU,ALTINELLER  BÜFE İLETİŞİM BİLGİSAYAR ELEKTRONİK OTOMOTİV İNŞAAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,KARABAĞLAR MAHALLESİ 5760 SK. NO:22/A KARABAĞLAR / İZMİR
1993071,213287,ANONİM,TURABİYE,SEFERİHİSAR,29,TELEKOMÜNİKASYON GRUBU,ANKA FİBER TEKNOLOJİLERİ TELEKOMÜNİKASYON SANAYİ VE TİCARET ANONİM ŞİRKETİ,TURABİYE MAHALLESİ NECAT HEPKON CAD. NO: 61 İÇ KAPI NO: 11 SEFERİHİSAR / İZMİR
1753601,189141,LİMİTED,KARACAOĞLAN,BORNOVA,29,TELEKOMÜNİKASYON GRUBU,ANO PETROL ÜRÜNLERİ İLETİŞİM İNŞAAT TURİZM GIDA KUYUMCULUK SANAYİ VE  TİCARET LİMİTED ŞİRKETİ OTOGAR ŞUBESİ,KARACAOĞLAN MAHALLESİ KEMALPAŞA CAD. NO:285/Z107 ATATÜRK BORNOVA / İZMİR
2159901,230072,LİMİTED,İSMET KAPTAN,KONAK,29,TELEKOMÜNİKASYON GRUBU,APPİZ BİLGİSAYAR SANAYİ VE TİCARET LİMİTED ŞİRKETİ,İSMET KAPTAN MAH. ŞAİR EŞREF BUL. RAGIP ŞANLI IŞ MERKEZI BLOK NO: 6C KONAK / İZMİR
2306315,256268,LİMİTED,AKDENİZ,KONAK,29,TELEKOMÜNİKASYON GRUBU,ARAS WORLD İLETİŞİM TEKNOLOJİLERİ LİMİTED ŞİRKETİ,AKDENİZ MAH. GAZİ OSMAN PAŞA BUL. NO: 38D KONAK / İZMİR
1496841,162278,LİMİTED,HÜRRİYET,BUCA,29,TELEKOMÜNİKASYON GRUBU,ARASTA MAĞAZACILIK TİCARET LİMİTED ŞİRKETİ ,HÜRRİYET MAHALLESİ MEHMET AKİF CADDESİ EROĞLU İŞ MERKEZİ BLOK NO: 4F BUCA / İZMİR
2263951,240565,LİMİTED,KÜLTÜR,KONAK,29,TELEKOMÜNİKASYON GRUBU,AREL TELEKOMÜNİKASYON SANAYİ VE TİCARET LİMİTED ŞİRKETİ ,KÜLTÜR MAHALLESİ TALATPAŞA BULVARI SİDE BLOK NO: 28B İÇ KAPI NO: 28B KONAK / İZMİR
