Oda Sicil No,Ticari Sicil No,Şirket Türü,Mahalle Adı,İlçe Adı,Meslek Grubu Numarası,Meslek Grubu Adı,Ünvanı,Tescilli Adresi
1632501,177126,LİMİTED,ATATÜRK ORGANİZE SANAYİ BÖLGESİ,ÇİĞLİ,78,TEMİZLİK FAALİYETLERİ GRUBU,1A KİMYA MİMARLIK MÜHENDİSLİK TEMİZLİK MADDELERİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ,ATATÜRK ORGANİZE SANAYİ BÖLGESİ MAHALLESİ 10026 SOKAK NO:28 ÇİĞLİ / İZMİR
2303955,253896,LİMİTED,GÜNALTAY,KARABAĞLAR,78,TEMİZLİK FAALİYETLERİ GRUBU,3A İLAÇLAMA HİZMETLERİ LİMİTED ŞİRKETİ,GÜNALTAY MAH. DOSTLUK BUL. NO: 20B KARABAĞLAR / İZMİR
2278591,242041,LİMİTED,YUNUS EMRE,KARABAĞLAR,78,TEMİZLİK FAALİYETLERİ GRUBU,3G TEMİZLİK HİZMETLERİ VE PERSONEL TEMİNİ OTOMOTİV TAŞIMACILIĞI ACENTELİK SANAYİ VE TİCARET LİMİTED ŞİRKETİ,YUNUS EMRE MAH. 4023 SK. NO: 23 İÇ KAPI NO: 21 KARABAĞLAR / İZMİR
1924641,206396,LİMİTED,KAZIMDİRİK,BORNOVA,78,TEMİZLİK FAALİYETLERİ GRUBU,A SİSTEM TEMİZLİK ORGANİZASYON GIDA İNŞAAT TURİZM SANAYİ VE TİCARET LİMİTED ŞİRKETİ,KAZIMDİRİK MAH. 5003 SK. NO: 1 BORNOVA / İZMİR
1572731,169920,LİMİTED,TURGUT REİS,KONAK,78,TEMİZLİK FAALİYETLERİ GRUBU,AAY GRUP TEMİZLİK PEYZAJ İNŞAAT TAAHHÜT TAŞIMACILIK GIDA HAYVANCILIK TURİZM TEKSTİL İTHALAT İHRACAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,TURGUT REİS MAHALLESİ ŞEHİT NİHATBEY CADDESİ NO:101/1 KONAK / İZMİR
1512951,163917,LİMİTED,ALSANCAK,KONAK,78,TEMİZLİK FAALİYETLERİ GRUBU,ABTEM TEMİZLİK ORGANİZASYON HİZMETLERİ VE TİCARET LİMİTED ŞİRKETİ ,ALSANCAK MAHALLESİ KIBRIS ŞEHİTLERİ CADDESİ NO:4/13 MAYIS APARTMANI KAT:7 KONAK / İZMİR
2295085,244997,ANONİM,ADALET,BAYRAKLI,78,TEMİZLİK FAALİYETLERİ GRUBU,ACARLI MEDİKAL SANAYİ VE TİCARET ANONİM ŞİRKETİ,ADALET MAH. MANAS BUL. NO: 39 İÇ KAPI NO: 3408 BAYRAKLI / İZMİR
2247591,238915,LİMİTED,ULUCAK İSTİKLAL,KEMALPAŞA,78,TEMİZLİK FAALİYETLERİ GRUBU,ADA CLEANİNG KOZMETİK TEKSTİL GIDA OTOMOTİV GAYRİMENKUL DANIŞMANLIĞI ARICILIK İTHALAT İHRACAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,ULUCAK İSTİKLAL MAH. TURGUT ÖZAL BUL. NO: 35B İÇ KAPI NO: B KEMALPAŞA / İZMİR
1778931,191676,LİMİTED,EGEMENLİK,BORNOVA,78,TEMİZLİK FAALİYETLERİ GRUBU,ADAKAN ENDÜSTRİYEL KİMYA DENİZCİLİK AKARYAKIT TURİZM İNŞAAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,EGEMENLİK MAH. 6106 SK. NO: 40/1 BORNOVA / İZMİR
1789451,192751,LİMİTED,BASIN SİTESİ,KARABAĞLAR,78,TEMİZLİK FAALİYETLERİ GRUBU,ADEN İLAÇLAMA ÇEVRE SAĞLIĞI HİZMETLERİ VE TİCARET LİMİTED ŞİRKETİ,BASIN SİTESİ MAHALLESİ İNÖNÜ CAD. NO: 477/_ KARABAĞLAR/İZMİR
2294653,244558,LİMİTED,BARIŞ,KARABAĞLAR,78,TEMİZLİK FAALİYETLERİ GRUBU,ADEN İLAÇLAMA ÇEVRE SAĞLIĞI HİZMETLERİ VE TİCARET LİMİTED ŞİRKETİ KARABAĞLAR ŞUBESİ,BARIŞ MAH. 4553 SK. NO: 24A İÇ KAPI NO: A KARABAĞLAR / İZMİR
1690551,182939,LİMİTED,MİMAR SİNAN,KONAK,78,TEMİZLİK FAALİYETLERİ GRUBU,ADONİS KURUMSAL TEDARİK HİZMETLERİ REKLAM PLASTİK TEMİZLİK İNŞAAT TURİZM GIDA PAZARLAMA SANAYİ VE TİCARET LİMİTED ŞİRKETİ,MİMAR SİNAN MAHALLESİ ZİYA GÖKALP BLV. NO: 17 B KONAK/İZMİR
1745101,188277,ANONİM,TURGUT REİS,KONAK,78,TEMİZLİK FAALİYETLERİ GRUBU,AHTER TEMİZLİK PEYZAJ İNŞAAT TAAHHÜT GIDA TURİZM TARIM HAYVANCILIK OTO KİRALAMA SANAYİ VE TİCARET ANONİM ŞİRKETİ İZMİR ŞUBESİ,TURGUT REİS MAHALLESİ ŞEHİT NİHAT BEY CAD. NO:101/1 KONAK / İZMİR
2299332,249257,LİMİTED,EĞRİDERE,BORNOVA,78,TEMİZLİK FAALİYETLERİ GRUBU,AK DURU TEMİZLİK AMBALAJ KİMYA SANAYİ VE TİCARET LİMİTED ŞİRKETİ,EĞRİDERE MAH. SÖĞÜTLÜ SK. NO: 28C BORNOVA / İZMİR
1786431,192445,LİMİTED,NALDÖKEN,BORNOVA,78,TEMİZLİK FAALİYETLERİ GRUBU,AKA SABUN KİMYA SANAYİ VE TİCARET LİMİTED ŞİRKETİ ,NALDÖKEN MAHALLESİ 129/24 SOKAK NO:7 BORNOVA / İZMİR
