Oda Sicil No,Ticari Sicil No,Şirket Türü,Mahalle Adı,İlçe Adı,Meslek Grubu Numarası,Meslek Grubu Adı,Ünvanı,Tescilli Adresi
1457421,158378,LİMİTED,YENİDOĞAN,KONAK,54,LASTİK AKÜMÜLATÖR VE MOTORSİKLET GRUBU,1919 OTOMOTİV TURİZM REKLAM İNŞAAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,YENİDOĞAN MAHALLESİ 1139 SOKAK NO:2-3/Z03 KONAK/İZMİR
2049471,218973,ANONİM,FATİH,GAZİEMİR,54,LASTİK AKÜMÜLATÖR VE MOTORSİKLET GRUBU,9 DERECE ARGE OTOMOTİV SANAYİ VE TİCARET ANONİM ŞİRKETİ,FATİH MAH. 1198 SK. NO: 4/1B GAZİEMİR / İZMİR
2029391,216961,ANONİM,DOĞANLAR,BORNOVA,54,LASTİK AKÜMÜLATÖR VE MOTORSİKLET GRUBU,A.UZUNALİOĞLU OTOMOTİV SANAYİ VE TİCARET ANONİM ŞİRKETİ,DOĞANLAR MAHALLESİ OKUL SK. NO: 20 BORNOVA/İZMİR
2027751,216794,LİMİTED,KAHRAMANLAR,KONAK,54,LASTİK AKÜMÜLATÖR VE MOTORSİKLET GRUBU,AA MOTOSİKLET TİCARET VE SANAYİ LİMİTED ŞİRKETİ,KAHRAMANLAR MAH. 1396 SK. TEKÜN BLOK NO: 69B İÇ KAPI NO: B KONAK / İZMİR
2016311,215614,LİMİTED,SIĞACIK,SEFERİHİSAR,54,LASTİK AKÜMÜLATÖR VE MOTORSİKLET GRUBU,AB MARİN YATÇILIK TURİZM LİMİTED ŞİRKETİ,SIĞACIK MAHALLESİ AKKUM CAD. 5.BAKIM ATÖLYELERİ APT. NO: 4 /26A SEFERİHİSAR/İZMİR
784911,10803,ANONİM,KAZIMDİRİK,BORNOVA,54,LASTİK AKÜMÜLATÖR VE MOTORSİKLET GRUBU,ABDULKADİR ÖZCAN OTOMOTİV LASTİK SANAYİ VE TİCARET ANONİM ŞİRKETİ-İZMİR ŞUBESİ,KAZIMDİRİK MAHALLESİ 364/1 SK. NO: 9 BORNOVA/İZMİR
2233901,237541,LİMİTED,ŞİRİNTEPE,ÇİĞLİ,54,LASTİK AKÜMÜLATÖR VE MOTORSİKLET GRUBU,AÇS MARİN TEKNE KARAVAN ÜRETİM SANAYİ VE TİCARET LİMİTED ŞİRKETİ,ŞİRİNTEPE MAH. 8123 SK. NO: 66 İÇ KAPI NO: 2 ÇİĞLİ / İZMİR
1894301,203345,LİMİTED,KÜLTÜR,KONAK,54,LASTİK AKÜMÜLATÖR VE MOTORSİKLET GRUBU,ADRİYATİK YATÇILIK DENİZCİLİK TURİZM İNŞAAT GIDA SANAYİ VE TİCARET LİMİTED ŞİRKETİ,KÜLTÜR MAHALLESİ VASIF ÇINAR BLV. NO: 7/4 KONAK/İZMİR
2304659,254604,LİMİTED,ONUR,BALÇOVA,54,LASTİK AKÜMÜLATÖR VE MOTORSİKLET GRUBU,AEROSCOPE HAVACILIK TEKNOLOJİLERİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ,ONUR MAH. LİMON SK. DURU NO: 1 İÇ KAPI NO: 73 BALÇOVA / İZMİR
1889841,191220,LİMİTED,GÜRPINAR,BORNOVA,54,LASTİK AKÜMÜLATÖR VE MOTORSİKLET GRUBU,AGORA YATÇILIK MİMARLIK İNŞAAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,GÜRPINAR MAH. 7004 SK. NO: 48 BORNOVA / İZMİR
2283481,242544,ANONİM,MERSİNLİ,KONAK,54,LASTİK AKÜMÜLATÖR VE MOTORSİKLET GRUBU,AGRON ENERJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,MERSİNLİ MAH. 2830 SK. NO: 39 KONAK / İZMİR
2204521,234567,LİMİTED,KEMALPAŞA,BORNOVA,54,LASTİK AKÜMÜLATÖR VE MOTORSİKLET GRUBU,AK YALÇINLAR ELEKTRİK ELEKTRONİK SANAYİ VE TİCARET LİMİTED ŞİRKETİ,KEMALPAŞA MAH. KEMALPAŞA CAD. B BLOK NO: 344/1J BORNOVA / İZMİR
2108261,224883,LİMİTED,ADALET,BAYRAKLI,54,LASTİK AKÜMÜLATÖR VE MOTORSİKLET GRUBU,AKA KOMPOZİT ELEKTRİK ELEKTRONİK ENERJİ MÜHENDİSLİK DANIŞMANLIK İNŞAAT İMALAT SANAYİ VE DIŞ TİCARET LİMİTED ŞİRKETİ,ADALET MAH. MANAS BUL. NO: 39 İÇ KAPI NO: 3408 BAYRAKLI / İZMİR
2284471,242624,LİMİTED,ADALET,BAYRAKLI,54,LASTİK AKÜMÜLATÖR VE MOTORSİKLET GRUBU,AKA SAVUNMA HAVACILIK DENİZCİLİK MÜHENDİSLİK TASARIM İMALAT SANAYİ İÇ VE DIŞ TİCARET LİMİTED ŞİRKETİ,ADALET MAH. MANAS BUL. NO: 39 İÇ KAPI NO: 3408 BAYRAKLI / İZMİR
1959751,209942,LİMİTED,İNÖNÜ,BUCA,54,LASTİK AKÜMÜLATÖR VE MOTORSİKLET GRUBU,AKDAĞ JANT LASTİK OTOMOTİV İNŞAAT ARAÇ KİRALAMA HİZMETLERİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ,İNÖNÜ MAHALLESİ 677/38 SK. NO: 34 BUCA/İZMİR
2305940,255887,LİMİTED,ZAFER,BUCA,54,LASTİK AKÜMÜLATÖR VE MOTORSİKLET GRUBU,AKİF ECE OTO LASTİK İNŞAAT SANAYİ TİCARET LİMİTED ŞİRKETİ KAYNAKLAR ŞUBESİ,ZAFER MAH. 2321 SK. NO: 30 BUCA / İZMİR
2273421,241531,LİMİTED,SASALI MERKEZ,ÇİĞLİ,54,LASTİK AKÜMÜLATÖR VE MOTORSİKLET GRUBU,ALDE BOATS YATÇILIK DENİZCİLİK SANAYİ VE TİCARET LİMİTED ŞİRKETİ,SASALI MERKEZ MAH. 46 SK. 7.SANAYI SİTESİ M BLOK NO: 42G ÇİĞLİ / İZMİR
1927201,206655,LİMİTED,ULAMIŞ,SEFERİHİSAR,54,LASTİK AKÜMÜLATÖR VE MOTORSİKLET GRUBU,ALEMDAR MARİN TEKNOLOJİ DENİZ ARAÇLARI SANAYİ VE TİCARET LİMİTED ŞİRKETİ,ULAMIŞ MAHALLESİ İZMİR CAD. ATA AMBALAJ SİT. NO: 201 SEFERİHİSAR/İZMİR
1873101,201223,ANONİM,TUNA,BORNOVA,54,LASTİK AKÜMÜLATÖR VE MOTORSİKLET GRUBU,ALİ BAŞAKCI ENDÜSTRİ VE TİCARET ANONİM ŞİRKETİ,TUNA MAHALLESİ 5601/1 SK. ÇAMDİBİ İŞ MERKEZİ SİT. D BLOK APT. NO: 2 T/_ BORNOVA/İZMİR
2258871,240052,LİMİTED,TUNA,BORNOVA,54,LASTİK AKÜMÜLATÖR VE MOTORSİKLET GRUBU,ALİ BAŞAKCI GARAJ VE SERVİS EKİPMANLARI LİMİTED ŞİRKETİ,TUNA MAH. 5601/1 SK. ÇAMDİBİ İŞ MERKEZİ BLOK NO: 2T BORNOVA / İZMİR
2301048,250982,LİMİTED,ADALET,BAYRAKLI,54,LASTİK AKÜMÜLATÖR VE MOTORSİKLET GRUBU,ALPHA INNOVATİVE ENERJİ SİSTEMLERİ TİCARET VE SANAYİ LİMİTED ŞİRKETİ,ADALET MAH. MANAS BUL. FOLKART TOWERS NO: 47B İÇ KAPI NO: 2601 BAYRAKLI / İZMİR
1973641,211353,ANONİM,ERZENE,BORNOVA,54,LASTİK AKÜMÜLATÖR VE MOTORSİKLET GRUBU,ANOVA ARGE TEKNOLOJİLERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ İZMİR ŞUBESİ,ERZENE MAHALLESİ ANKARA CAD. EGE ÜNİVERSİTESİ SİT. İDEEGE TEKNOLOJİ GELİŞTİRME BÖLGESİ.A.Ş. APT. NO: 172 /67 BORNOVA/İZMİR
2152911,229365,LİMİTED,KARACAOĞLAN,BORNOVA,54,LASTİK AKÜMÜLATÖR VE MOTORSİKLET GRUBU,APEIRON HAVACILIK SANAYİ TİCARET İTHALAT VE İHRACAT LİMİTED ŞİRKETİ,KARACAOĞLAN MAH. BORNOVA CAD. ÖZTIM IŞ MERKEZI BLOK NO: 9-5C BORNOVA / İZMİR
2299943,249866,ANONİM,BUCAOSB,BUCA,54,LASTİK AKÜMÜLATÖR VE MOTORSİKLET GRUBU,ARAS GRUP RAYLI SİSTEMLER SANAYİ VE TİCARET ANONİM ŞİRKETİ,BUCAOSB MAH. YAHYA KEMAL BEYATLI CAD. NO: 102 BUCA / İZMİR
1451211,157752,LİMİTED,ÜMİT,BORNOVA,54,LASTİK AKÜMÜLATÖR VE MOTORSİKLET GRUBU,ARMA AKÜMÜLATÖR SANAYİ VE TİCARET LİMİTED ŞİRKETİ İZMİR ŞUBESİ,ÜMİT MAHALLESİ 7408/1 SK. NO: 3 BORNOVA/İZMİR
2299286,249207,ANONİM,EĞİTİM,BALÇOVA,54,LASTİK AKÜMÜLATÖR VE MOTORSİKLET GRUBU,ARSEL MOTOSİKLET SANAYİ TİCARET ANONİM ŞİRKETİ,EĞİTİM MAH. ŞEHİT KAMİL ÖZDEMİR SK. GÜLENTİP NO: 9/A İÇ KAPI NO: /A BALÇOVA / İZMİR
1859161,199796,LİMİTED,GÜLYAKA,KARABAĞLAR,54,LASTİK AKÜMÜLATÖR VE MOTORSİKLET GRUBU,ASLAN KARDEŞLER OTOMOTİV SANAYİ VE TİCARET LİMİTED ŞİRKETİ YEŞİLYURT ŞUBESİ,GÜLYAKA MAHALLESİ SAİM ÇIKRIKÇI CAD. NO: 163 B/B KARABAĞLAR/İZMİR
2127181,226777,LİMİTED,ŞEMİKLER,KARŞIYAKA,54,LASTİK AKÜMÜLATÖR VE MOTORSİKLET GRUBU,ATİKS ROT BALANS JANT LASTİK OTOMOTİV İNŞAAT TAŞIMACILIK SANAYİ VE TİCARET LİMİTED ŞİRKETİ,ŞEMİKLER MAH. ANADOLU CAD. EMİNE HANIM BLOK NO: 595B KARŞIYAKA / İZMİR
492641,67639,ANONİM,KEMALPAŞA OSB,KEMALPAŞA,54,LASTİK AKÜMÜLATÖR VE MOTORSİKLET GRUBU,ATLILAR BİSİKLET MOTORSİKLET VE YEDEK PARÇALARI SANAYİ VE TİCARET ANONİM ŞİRKETİ,KEMALPAŞA OSB MAHALLESİ 37 SK. NO: 14 KEMALPAŞA/İZMİR
2192191,233331,LİMİTED,DOKUZ EYLÜL,GAZİEMİR,54,LASTİK AKÜMÜLATÖR VE MOTORSİKLET GRUBU,AVİLA MARİN DENİZ ARAÇLARI İMALATI TURİZM İNŞAAT SANAYİ TİCARET LİMİTED ŞİRKETİ,DOKUZ EYLÜL MAH. AKÇAY CAD. EGEYILDIZ BLOK NO: 237 İÇ KAPI NO: 237 GAZİEMİR / İZMİR
