Oda Sicil No,Ticari Sicil No,Şirket Türü,Mahalle Adı,İlçe Adı,Meslek Grubu Numarası,Meslek Grubu Adı,Ünvanı,Tescilli Adresi
2227571,236893,ANONİM,ADALET,BAYRAKLI,68,İNŞAAT ALT YAPI MÜTEAHHİTLER GRUBU,2A HAFRİYAT İNŞAAT TAAHHÜT TİCARET ANONİM ŞİRKETİ ,ADALET MAHALLESİ ANADOLU CADDESİ NO:41 MEGAPOL TOWER BLOK İÇ KAPI NO: 101 BAYRAKLI / İZMİR
1950951,209060,LİMİTED,AYDINLIKEVLER,ÇİĞLİ,68,İNŞAAT ALT YAPI MÜTEAHHİTLER GRUBU,35 BARINAK İNŞAAT NAKLİYE MADENCİLİK SANAYİ VE TİCARET LİMİTED  ŞİRKETİ,AYDINLIKEVLER MAHALLESİ 6782 SK. NO:55/1 ÖMER BEY Apt. ÇİĞLİ / İZMİR
2129521,227019,LİMİTED,ADALET,BAYRAKLI,68,İNŞAAT ALT YAPI MÜTEAHHİTLER GRUBU,A İMZA İNŞAAT TURİZM SANAYİ VE TİCARET LİMİTED ŞİRKETİ,ADALET MAH. MANAS BUL. FOLKART TOWERS NO: 47B İÇ KAPI NO: 2601 BAYRAKLI / İZMİR
1698131,183694,LİMİTED,ADALET,BAYRAKLI,68,İNŞAAT ALT YAPI MÜTEAHHİTLER GRUBU,A METAL ALÜMİNYUM CEPHE SİSTEMLERİ İNŞAAT PAZARLAMA SANAYİ İÇ VE DIŞ TİCARET LİMİTED ŞİRKETİ,ADALET MAHALLESİ MANAS BULV. FOLKART TOWERS BLOK NO: 47B İÇ KAPI NO:2601 BAYRAKLI / İZMİR
668771,120535,LİMİTED,VATAN,KARABAĞLAR,68,İNŞAAT ALT YAPI MÜTEAHHİTLER GRUBU,A.Y.T İŞ MAKİNALARI HARFİYAT VE İNŞAAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,VATAN MAH. 9195/13 SK. YADIGAR SITESI SİTESİ AYHAN APARTMANI NO: 1 İÇ KAPI NO: 5 KARABAĞLAR / İZMİR
1906091,204535,ANONİM,KEMALPAŞA,BORNOVA,68,İNŞAAT ALT YAPI MÜTEAHHİTLER GRUBU,A3 MAKİNA VE ZEMİN MÜHENDİSLİĞİ SANAYİ VE TİCARET ANONİM ŞİRKETİ ,KEMALPAŞA MAHALLESİ 6108/1 SOKAK NO:18/A BORNOVA / İZMİR
508161,5763,LİMİTED,ATAKENT,KARŞIYAKA,68,İNŞAAT ALT YAPI MÜTEAHHİTLER GRUBU,ABDÜLHE YILDIZ DOĞALGAZ SİSTEMLERİ İNŞAAT TAAHHÜT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,ATAKENT MAH. CAHER DUDAYEV BUL. NO: 157 İÇ KAPI NO: 1 KARŞIYAKA / İZMİR
1741621,187931,ANONİM,KÜLTÜR,KONAK,68,İNŞAAT ALT YAPI MÜTEAHHİTLER GRUBU,ABK ÇELİK KONSTRÜKSİYON ANONİM ŞİRKETİ,KÜLTÜR MAH. İZMİR CUMHURİYET MEY. CUMHURİYET NO: 12 İÇ KAPI NO: 61 KONAK / İZMİR
505721,69351,LİMİTED,DEVRİM,,68,İNŞAAT ALT YAPI MÜTEAHHİTLER GRUBU,ACAR KARDEŞLER İNŞAAT-HAFRİYAT-TAAHHÜT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,DEVRİM MAHALLESİ ESKİİZMİR CADDESİ NO:711 ESKİİZMİR
1931091,207063,LİMİTED,ALSANCAK,KONAK,68,İNŞAAT ALT YAPI MÜTEAHHİTLER GRUBU,AÇILIM İNŞAAT TİCARET VE SANAYİ LİMİTED ŞİRKETİ ALSANCAK ŞUBESİ,ALSANCAK MAHALLESİ CUMHURİYET BULVARI NO:210/Z1 KONAK / İZMİR
