Oda Sicil No,Ticari Sicil No,Şirket Türü,Mahalle Adı,İlçe Adı,Meslek Grubu Numarası,Meslek Grubu Adı,Ünvanı,Tescilli Adresi
2034251,217439,ANONİM,ERGENE,BORNOVA,41,TURİZM SEYAHAT ACENTELERİ VE OTO KİRALAMA GRUBU,10 NUMARA TURİZM ORGANİZASYON SANAYİ VE TİCARET ANONİM ŞİRKETİ,ERGENE MAHALLESİ 550 SOKAK NO:88/A TOPÇU Apt. BORNOVA / İZMİR
1570971,169742,ANONİM,MANSUROĞLU,BAYRAKLI,41,TURİZM SEYAHAT ACENTELERİ VE OTO KİRALAMA GRUBU,3 GEN 35 TURİZM VE TİCARET ANONİM ŞİRKETİ,MANSUROĞLU MAHALLESİ 1593/1 SK. A BLOK APT. NO: 2/32 BAYRAKLI/İZMİR
2296091,246004,LİMİTED,MANSUROĞLU,BAYRAKLI,41,TURİZM SEYAHAT ACENTELERİ VE OTO KİRALAMA GRUBU,35 KARAVAN KİRALAMA İTHALAT İHRACAT SANAYİ TİCARET LİMİTED ŞİRKETİ,MANSUROĞLU MAH. DUMLUPINAR CAD. NURIŞIK NO: 47/6 BAYRAKLI / İZMİR
2071871,221201,LİMİTED,AKDENİZ,KONAK,41,TURİZM SEYAHAT ACENTELERİ VE OTO KİRALAMA GRUBU,3ES TURİZM OTOMOTİV SANAYİ VE TİCARET LİMİTED ŞİRKETİ ,AKDENİZ MAHALLESİ GAZİ OSMAN PAŞA BULVARI NO:30/B SÜREYYA REYENT İŞHAN Apt. KONAK / İZMİR
2269241,241101,LİMİTED,ADNAN SÜVARİ,KARABAĞLAR,41,TURİZM SEYAHAT ACENTELERİ VE OTO KİRALAMA GRUBU,4U CAR HIRE OTOMOTİV İNŞAAT SANAYİ TİCARET LİMİTED ŞİRKETİ ,ADNAN SÜVARİ MAHALLESİ 108/8 SK. NO:20 DAİRE:5 KARABAĞLAR / İZMİR
892711,98850,LİMİTED,AKDENİZ,KONAK,41,TURİZM SEYAHAT ACENTELERİ VE OTO KİRALAMA GRUBU,A PAMUKKALE TAŞIMACILIK TURİZM TİCARET LİMİTED ŞİRKETİ,AKDENİZ MAH. CUMHURİYET BUL. AYTEKIN IŞ MERKEZI NO: 71 İÇ KAPI NO: 402 KONAK / İZMİR
1511831,163802,LİMİTED,İSMET KAPTAN,KONAK,41,TURİZM SEYAHAT ACENTELERİ VE OTO KİRALAMA GRUBU,A PAMUKKALE TAŞIMACILIK TURİZM TİCARET LİMİTED ŞİRKETİ GENEL MÜDÜRLÜK FİNANS ŞUBESİ,İSMET KAPTAN MAHALLESİ GAZİ BULVARI NO:95 MÜNİR BİRSEL PLAZA KAT:2 DAİRE:3 KONAK / İZMİR
1631771,177061,LİMİTED,7402/2 SOKAK IŞIKKENT,BORNOVA,41,TURİZM SEYAHAT ACENTELERİ VE OTO KİRALAMA GRUBU,A PAMUKKALE TAŞIMACILIK TURİZM TİCARET LİMİTED ŞİRKETİ IŞIKKENT ŞUBESİ,7402/2 SOKAK IŞIKKENT MAHALLESİ 4 BORNOVA / İZMİR
1814051,195161,LİMİTED,İSMET KAPTAN,KONAK,41,TURİZM SEYAHAT ACENTELERİ VE OTO KİRALAMA GRUBU,A PAMUKKALE TAŞIMACILIK TURİZM TİCARET LİMİTED ŞİRKETİ İZMİR 1 ŞUBESİ,İSMET KAPTAN MAHALLESİ GAZİ BULVARI NO:95/11 KONAK / İZMİR
1629711,176862,LİMİTED,KARACAOĞLAN,BORNOVA,41,TURİZM SEYAHAT ACENTELERİ VE OTO KİRALAMA GRUBU,A PAMUKKALE TAŞIMACILIK TURİZM TİCARET LİMİTED ŞİRKETİ-OTOGAR ÇAĞRI MERKEZİ ŞUBESİ,KARACAOĞLAN MAHALLESİ KEMALPAŞA CAD. NO:285/3 D:114-115 İZMİR ŞEHİRLERARASI OTOBÜS TERMİNAL BORNOVA / İZMİR
