Oda Sicil No,Ticari Sicil No,Şirket Türü,Mahalle Adı,İlçe Adı,Meslek Grubu Numarası,Meslek Grubu Adı,Ünvanı,Tescilli Adresi
2226361,236768,LİMİTED,ÇINARLI,KONAK,45,YÜK TAŞIMA VE ANTREPO GRUBU, FİDESTR LOJİSTİK SANAYİ VE TİCARET LİMİTED ŞİRKETİ ,ÇINARLI MAHALLESİ 1572 SOKAK NO:33 KONAK / İZMİR
2232461,237391,LİMİTED,ADALET,BAYRAKLI,45,YÜK TAŞIMA VE ANTREPO GRUBU,2C TRANSPORT LOJİSTİK PAZARLAMA İTHALAT İHRACAT LİMİTED ŞİRKETİ ,ADALET MAH. MAHALLESİ MANAS BLV NO: 39 İÇ KAPI NO: 2511 BAYRAKLI / İZMİR
2237621,237901,ANONİM,KEMALPAŞA,BORNOVA,45,YÜK TAŞIMA VE ANTREPO GRUBU,2MET LOJİSTİK HİZMETLERİ ANONİM ŞİRKETİ ,KEMALPAŞA MAHALLESİ KEMALPAŞA CAD. NO: 272 İÇ KAPI NO: 12 BORNOVA / İZMİR
2298857,248773,LİMİTED,EVKA 3,BORNOVA,45,YÜK TAŞIMA VE ANTREPO GRUBU,3 HİLAL LOJİSTİK OTOMOTİV SANAYİ VE TİCARET LİMİTED ŞİRKETİ,EVKA 3 MAH. CENGİZ HAN CAD. ADIL DEMIR SITESI SİTESİ NO: 24/18 İÇ KAPI NO: 4 BORNOVA / İZMİR
2043161,218330,ANONİM,ALSANCAK,KONAK,45,YÜK TAŞIMA VE ANTREPO GRUBU,3B DIŞ TİCARET VE LOJİSTİK ANONİM ŞİRKETİ,ALSANCAK MAHALLESİ KIBRIS ŞEHİTLERİ CAD. HACER DAĞÜSTÜ İŞ MERKEZİ APT. NO: 26/52 KONAK/İZMİR
2104161,224476,LİMİTED,KEMALPAŞA,BORNOVA,45,YÜK TAŞIMA VE ANTREPO GRUBU,3S CANLAR NAKLİYAT OTOMOTİV PETROL ÜRÜNLERİ İNŞAAT SANAYİ VE TİCARET  LİMİTED ŞİRKETİ,KEMALPAŞA MAHALLESİ 7419/9 SOKAK NO: 9A BORNOVA / İZMİR
1469541,159575,LİMİTED,YEŞİLÇAM,BORNOVA,45,YÜK TAŞIMA VE ANTREPO GRUBU,45 NAKLİYAT TİCARET LİMİTED ŞİRKETİ ,YEŞİLÇAM MAHALLESİ KEMALPAŞA CADDESI İNAKO SİTESİ NO: 352/4B BORNOVA / İZMİR
693461,82958,LİMİTED,HALKAPINAR,KONAK,45,YÜK TAŞIMA VE ANTREPO GRUBU,4-U ULUSLARARASI TAŞIMACILIK TURİZM SANAYİ VE TİCARET LİMİTED ŞİRKETİ,HALKAPINAR MAHALLESİ 1348 SOK. NO:2/M KEREMOĞLU İŞ MERKEZİ YENİŞEHİR KONAK / İZMİR
1950481,209007,LİMİTED,EGEMENLİK,BORNOVA,45,YÜK TAŞIMA VE ANTREPO GRUBU,A G N NAKLİYAT İNŞAAT TİCARET LİMİTED ŞİRKETİ,EGEMENLİK MAHALLESİ 6108/1 SK. NO: 4/101 BORNOVA/İZMİR
1108311,123474,LİMİTED,KEMALPAŞA,BORNOVA,45,YÜK TAŞIMA VE ANTREPO GRUBU,A.C.R.NAKLİYAT VE MADENİ YAĞ PAZARLAMA SANAYİ TİCARET LİMİTED ŞİRKETİ,KEMALPAŞA MAHALLESİ 7416/1 SOKAK NO: 53A BORNOVA / İZMİR
1079461,120450,ANONİM,ADALET,BAYRAKLI,45,YÜK TAŞIMA VE ANTREPO GRUBU,A.RIZA KINAY VAPUR ACENTELİĞİ VE TİCARET ANONİM ŞİRKETİ-İZMİR ŞUBESİ,ADALET MAHALLESİ MANAS NO:39/1910 BAYRAKLI / İZMİR
1039061,115868,LİMİTED,BAHRİYE,KARŞIYAKA,45,YÜK TAŞIMA VE ANTREPO GRUBU,A1 EVDEN EVE TAŞIMACILIK TURİZM GIDA SANAYİ VE TİCARET LİMİTED ŞİRKETİ ,BAHRİYE MAHALLESİ ŞEHİT İBRAHİM ER SOKAK PUSAT BLOK NO: 60A KARŞIYAKA / İZMİR
2295482,245398,LİMİTED,ADALET,BAYRAKLI,45,YÜK TAŞIMA VE ANTREPO GRUBU,A1 GLOBAL LOJİSTİK HİZMETLERİ TURİZM İNŞAAT LİMİTED ŞİRKETİ,ADALET MAH. 1594/1 SK. NO: 1 İÇ KAPI NO: 25 BAYRAKLI / İZMİR
1822591,196117,LİMİTED,EGEMENLİK,BORNOVA,45,YÜK TAŞIMA VE ANTREPO GRUBU,A7 GROUP LOJİSTİK İNŞAAT VE DIŞ TİCARET LİMİTED ŞİRKETİ,EGEMENLİK MAHALLESİ 6108 SK. NO: 51 -9/E BORNOVA/İZMİR
1762831,190048,LİMİTED,ADALET,BAYRAKLI,45,YÜK TAŞIMA VE ANTREPO GRUBU,ABA PROJECT ULUSLARARASI TAŞIMACILIK VE DIŞ TİCARET LİMİTED ŞİRKETİ ,ADALET MAHALLESİ ŞEHİT POLİS FETHİ SEKİN CAD. İNŞAAT Apt. NO: 4/212 BAYRAKLI / İZMİR
983101,109747,LİMİTED,SAHİLEVLERİ,NARLIDERE,45,YÜK TAŞIMA VE ANTREPO GRUBU,ABSON GIDA TURİZM İNŞAAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,SAHİLEVLERİ MAHALLESİ DEFNE SK. NO: 1 NARLIDERE / İZMİR
1686801,182566,LİMİTED,ERGENE,BORNOVA,45,YÜK TAŞIMA VE ANTREPO GRUBU,ACARLAR LOJİSTİK VE OTOMOTİV SANAYİ TİCARET LİMİTED ŞİRKETİ,ERGENE MAHALLESİ 456 SOK. NO:11 DAİRE:6 IŞIKKENT BORNOVA / İZMİR
2264091,240581,ANONİM,KALABAK,URLA,45,YÜK TAŞIMA VE ANTREPO GRUBU,ACT TRANSPORT VE TİCARET ANONİM ŞİRKETİ,KALABAK MAH. 3287 SK. 14 EVLER SİTESİ 14 EVLER NO: 1E1 URLA / İZMİR
2295967,245891,LİMİTED,ADALET,BAYRAKLI,45,YÜK TAŞIMA VE ANTREPO GRUBU,ADA GLOBAL LOJİSTİK SANAYİ VE TİCARET LİMİTED ŞİRKETİ,ADALET MAH. ANADOLU CAD. MEGAPOL TOWER NO: 41 İÇ KAPI NO: 081 BAYRAKLI / İZMİR
1041141,116104,LİMİTED,İSMET KAPTAN,KONAK,45,YÜK TAŞIMA VE ANTREPO GRUBU,ADAD ULUSLAR ARASI TAŞIMACILIK DENİZCİLİK VE TİCARET LİMİTED ŞİRKETİ,İSMET KAPTAN MAH. ŞEHİT NEVRES BUL. DEREN PLAZA NO: 10 İÇ KAPI NO: 11 KONAK / İZMİR
2149321,229005,LİMİTED,EGEMENLİK,BORNOVA,45,YÜK TAŞIMA VE ANTREPO GRUBU,ADALI GROUP LOJİSTİK LİMİTED ŞİRKETİ,EGEMENLİK MAH. 6108 SK. E NO: 51/1I BORNOVA / İZMİR
1812751,195119,ANONİM,ADALET,BAYRAKLI,45,YÜK TAŞIMA VE ANTREPO GRUBU,ADALI GROUP NAKLİYAT ANONİM ŞİRKETİ,ADALET MAH. MANAS BUL. NO: 39 İÇ KAPI NO: 3408 BAYRAKLI / İZMİR
2146561,228716,LİMİTED,GÜRPINAR,BORNOVA,45,YÜK TAŞIMA VE ANTREPO GRUBU,ADANA EKSPRES KARGO TAŞIMACILIK TİCARET LİMİTED ŞİRKETİ BORNOVA ŞUBESİ,GÜRPINAR MAHALLESİ 6106/26 SK. NO: 36A BORNOVA / İZMİR
2306902,256857,ANONİM,KONAK,KONAK,45,YÜK TAŞIMA VE ANTREPO GRUBU,ADES GLOBAL LOJİSTİK VE TEKNOLOJİ HİZMETLERİ ANONİM ŞİRKETİ,KONAK MAH. MİLLİ KÜTÜPHANE CAD. TİBAŞ İŞ MERKEZİ NO: 19 İÇ KAPI NO: 219 KONAK / İZMİR
