Oda Sicil No,Ticari Sicil No,Şirket Türü,Mahalle Adı,İlçe Adı,Meslek Grubu Numarası,Meslek Grubu Adı,Ünvanı,Tescilli Adresi
621321,77920,LİMİTED,GÜZELYURT,KONAK,77,ZÜCCACİYE VE DEKORATİF ÜRÜNLER GRUBU,ABA SPOT DAYANIKLI TÜKETİM MALLARI SANAYİ VE TİCARET LİMİTED ŞİRKETİ,GÜZELYURT MAHALLESİ EŞREFPAŞA CADDESİ NO:80/B1 KONAK / İZMİR
2009951,215006,LİMİTED,ETİLER,KONAK,77,ZÜCCACİYE VE DEKORATİF ÜRÜNLER GRUBU,AKSUN EKMEK GIDA PAZARLAMA TİCARET VE SANAYİ LİMİTED ŞİRKETİ ,ETİLER MAHALLESİ 1250 SOKAK NO:22 KONAK / İZMİR
1616411,175534,LİMİTED,ŞEMİKLER,KARŞIYAKA,77,ZÜCCACİYE VE DEKORATİF ÜRÜNLER GRUBU,AKTÜEL ÜRÜNLER PAZARLAMA TİCARET LİMİTED ŞİRKETİ ,ŞEMİKLER MAHALLESİ 6418 SK. NO:56/A KARŞIYAKA / İZMİR
2302063,251990,ANONİM,YENİKALE,NARLIDERE,77,ZÜCCACİYE VE DEKORATİF ÜRÜNLER GRUBU,ALT GROUPE MAĞAZACILIK TİCARET VE SANAYİ ANONİM ŞİRKETİ,YENİKALE MAH. MİTHATPAŞA CAD. GÜLNAZ NO: 174B NARLIDERE / İZMİR
1876231,201521,LİMİTED,HALKAPINAR,KONAK,77,ZÜCCACİYE VE DEKORATİF ÜRÜNLER GRUBU,ANAGEN PLASTİK GIDA SANAYİ VE TİCARET LİMİTED ŞİRKETİ ,HALKAPINAR MAHALLESİ 1202/6 SK NO:32 KONAK / İZMİR
1827571,196630,LİMİTED,KEMALPAŞA,BORNOVA,77,ZÜCCACİYE VE DEKORATİF ÜRÜNLER GRUBU,ARESTE PORSELEN TİCARET VE SANAYİ LİMİTED ŞİRKETİ ,KEMALPAŞA MAHALLESİ 7098/4 SOKAK NO:17 BORNOVA / İZMİR
2102171,224270,LİMİTED,KORUTÜRK,BALÇOVA,77,ZÜCCACİYE VE DEKORATİF ÜRÜNLER GRUBU,ARSE ENDÜSTRİYEL MUTFAK İTHALAT İHRACAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,KORUTÜRK MAHALLESİ RÜZGAR SOK. NO: 8A BALÇOVA / İZMİR
1985661,212557,LİMİTED,YUNUS EMRE,KARABAĞLAR,77,ZÜCCACİYE VE DEKORATİF ÜRÜNLER GRUBU,ASGUNLUK DAYANIKLI TÜKETİM MALLARI TİCARET LİMİTED ŞİRKETİ,YUNUS EMRE MAHALLESİ 4024 SOKAK NO: 33-35 İÇ KAPI NO: 31 KARABAĞLAR / İZMİR
1998121,213795,LİMİTED,YALI,KARŞIYAKA,77,ZÜCCACİYE VE DEKORATİF ÜRÜNLER GRUBU,ASLAN TİCARET DAYANIKLI TÜKETİM MALLARI LİMİTED ŞİRKETİ HILLTOWN AVM KARŞIYAKA ŞUBESİ,YALI MAHALLESİ 6522 SOK. NO:3 KARŞIYAKA / İZMİR
1809801,194821,LİMİTED,BEYAZEVLER,GAZİEMİR,77,ZÜCCACİYE VE DEKORATİF ÜRÜNLER GRUBU,ASLAN TİCARET DAYANIKLI TÜKETİM MALLARI LİMİTED ŞİRKETİ İZMİR OPTİMUM AVM ŞUBESİ,BEYAZEVLER MAHALLESİ AKÇAY CAD. NO:101 GAZİEMİR / İZMİR
2307271,257230,LİMİTED,GÜRPINAR,BORNOVA,77,ZÜCCACİYE VE DEKORATİF ÜRÜNLER GRUBU,AVESTA PLASTİK TİCARET LİMİTED ŞİRKETİ,GÜRPINAR MAH. 7018/9 SK. NO: 17 BORNOVA / İZMİR
1236751,136810,LİMİTED,BAHÇELİEVLER,KARABAĞLAR,77,ZÜCCACİYE VE DEKORATİF ÜRÜNLER GRUBU,AVİCENNA BİOMEDİKAL İNŞAAT TURİZM SANAYİ TİCARET LİMİTED ŞİRKETİ,BAHÇELİEVLER MAH. 509/5 SK. GÜL NO: 3A İÇ KAPI NO: A KARABAĞLAR / İZMİR
