Oda Sicil No,Ticari Sicil No,Şirket Türü,Mahalle Adı,İlçe Adı,Meslek Grubu Numarası,Meslek Grubu Adı,Ünvanı,Tescilli Adresi
2250081,239161,LİMİTED,EGEMENLİK,BORNOVA,20,KOZMETİK GRUBU,721 GRUP KOZMETİK SANAYİ TİCARET LİMİTED ŞİRKETİ,EGEMENLİK MAH. 6130 SK. NO: 16/3 İÇ KAPI NO: 3 BORNOVA / İZMİR
1484081,161020,ANONİM,İSTASYONALTI,ÇİĞLİ,20,KOZMETİK GRUBU,A.S WATSON GÜZELLİK VE BAKIM ÜRÜNLERİ TİCARET ANONİM ŞİRKETİ- TESCO KİPA ÇİĞLİ ALIŞVERİŞ MERKEZİ İZMİR ŞUBESİ,İSTASYONALTI MAHALLESİ YENİ HAVAALANI YOLU NO:40 TESCO KİPA AVM 1.KAT MAĞAZA NO:55 ÇİĞLİ/İZMİR
1219021,134974,ANONİM,KAZIMDİRİK,BORNOVA,20,KOZMETİK GRUBU,A.S. WATSON GÜZELİK VE BAKIM ÜRÜNLERİ TİCARET ANONİM ŞİRKETİ - İZMİR FORUM BORNOVA ŞUBESİ/FORUM BORNOVA ALIŞVERİŞ MERKEZİ,KAZIMDİRİK MAHALLESİ 372 SOKAK NO:10 BORNOVA / İZMİR
1471611,159787,ANONİM,BEYAZEVLER,GAZİEMİR,20,KOZMETİK GRUBU,A.S. WATSON GÜZELLİK VE BAKIM ÜRÜNLERİ TİCARET ANONİM ŞİRKETİ- OPTİMUM GAZİEMİR OUTLET VE EĞLENCE VE ALIŞVERİŞ MERKEZİ İZMİR ŞUBESİ,BEYAZEVLER MAHALLESİ AKÇAY CAD. NO:101 GAZİEMİR/İZMİR
1860601,199954,ANONİM,BAHARİYE,KARŞIYAKA,20,KOZMETİK GRUBU,A.S.WATSON GÜZELLİK VE BAKIM ÜRÜNLERİ TİCARET ANONİM ŞİRKETİ  ALAYBEY İZMİR ŞUBESİ,BAHARİYE MAHALLESİ 1868 SK. NO: 14 F KARŞIYAKA / İZMİR
1789571,192744,ANONİM,GONCALAR,KARŞIYAKA,20,KOZMETİK GRUBU,A.S.WATSON GÜZELLİK VE BAKIM ÜRÜNLERİ TİCARET ANONİM ŞİRKETİ  GİRNE İZMİR ŞUBESİ,GONCALAR MAHALLESİ GİRNE BULVARI NO:149-1A KARŞIYAKA / İZMİR
1821061,195952,ANONİM,GÖZTEPE,KONAK,20,KOZMETİK GRUBU,A.S.WATSON GÜZELLİK VE BAKIM ÜRÜNLERİ TİCARET ANONİM ŞİRKETİ  GÖZTEPE İZMİR ŞUBESİ,GÖZTEPE MAHALLESİ MİTHATPAŞA CAD. NO: 837 A KONAK / İZMİR
1799371,193740,ANONİM,ARAPHASAN,KARABAĞLAR,20,KOZMETİK GRUBU,A.S.WATSON GÜZELLİK VE BAKIM ÜRÜNLERİ TİCARET ANONİM ŞİRKETİ  HATAY İZMİR ŞUBESİ,ARAPHASAN MAHALLESİ İNÖNÜ CAD. NO:317/A KARABAĞLAR / İZMİR
1814651,195313,ANONİM,YEŞİLOVA,BORNOVA,20,KOZMETİK GRUBU,A.S.WATSON GÜZELLİK VE BAKIM ÜRÜNLERİ TİCARET ANONİM ŞİRKETİ  POİNT BORNOVA ALIŞVERİŞ MERKEZİ İZMİR ŞUBESİ,YEŞİLOVA MAHALLESİ 4174 SOKAK NO:84/10 BORNOVA / İZMİR
1784131,192206,ANONİM,BAHÇELERARASI,BALÇOVA,20,KOZMETİK GRUBU,A.S.WATSON GÜZELLİK VE BAKIM ÜRÜNLERİ TİCARET ANONİM ŞİRKETİ AGORA İZMİR ALIŞVERİŞ MERKEZİ İZMİR ŞUBESİ,BAHÇELERARASI MAH. MİTHATPAŞA CAD. NO: 32 İÇ KAPI NO: 105 BALÇOVA / İZMİR
1752111,188986,ANONİM,ALAÇATI,ÇEŞME,20,KOZMETİK GRUBU,A.S.WATSON GÜZELLİK VE BAKIM ÜRÜNLERİ TİCARET ANONİM ŞİRKETİ ALAÇATI  İZMİR ŞUBESİ,ALAÇATI MAHALLESİ 11001 SK NO:7/A ÇEŞME / İZMİR
1677611,181647,ANONİM,BOSTANLI,KARŞIYAKA,20,KOZMETİK GRUBU,A.S.WATSON GÜZELLİK VE BAKIM ÜRÜNLERİ TİCARET ANONİM ŞİRKETİ BOSTANLI İZMİR ŞUBESİ,BOSTANLI MAHALLESİ CEMAL GÜRSEL CADDESİ NO:508/A KARŞIYAKA / İZMİR
1889231,202842,ANONİM,SAKARYA,ÇEŞME,20,KOZMETİK GRUBU,A.S.WATSON GÜZELLİK VE BAKIM ÜRÜNLERİ TİCARET ANONİM ŞİRKETİ CADDE  PLUS ALIŞVERİŞ MERKEZİ İZMİR ŞUBESİ,SAKARYA MAHALLESİ 2001 SOKAK NO:119/1I ÇEŞME / İZMİR
1949491,208917,ANONİM,AHMET EFENDİ,ÇİĞLİ,20,KOZMETİK GRUBU,A.S.WATSON GÜZELLİK VE BAKIM ÜRÜNLERİ TİCARET ANONİM ŞİRKETİ EFESUS  OUTLET ALIŞVERİŞ MERKEZİ İZMİR ŞUBESİ,AHMET EFENDİ MAHALLESİ HAVAALANI ŞOSESİ CAD. NO:2/A ÇİĞLİ / İZMİR
1855771,199456,ANONİM,ÇINARLI,KONAK,20,KOZMETİK GRUBU,A.S.WATSON GÜZELLİK VE BAKIM ÜRÜNLERİ TİCARET ANONİM ŞİRKETİ EGE PERLA ALIŞVERİŞ MERKEZİ İZMİR ŞUBESİ,ÇINARLI MAHALLESİ OZAN ABAY CADDESİ NO:8/B26 KONAK / İZMİR
1650111,178883,ANONİM,GÜNEŞLİ,KONAK,20,KOZMETİK GRUBU,A.S.WATSON GÜZELLİK VE BAKIM ÜRÜNLERİ TİCARET ANONİM ŞİRKETİ İZMİR PARK ALIŞVERİŞ MERKEZİ İZMİR ŞUBESİ,GÜNEŞLİ MAHALLESİ EŞREFPAŞA CADDESİ NO:408/Z11 KONAK / İZMİR
1763101,190080,ANONİM,ALSANCAK,KONAK,20,KOZMETİK GRUBU,A.S.WATSON GÜZELLİK VE BAKIM ÜRÜNLERİ TİCARET ANONİM ŞİRKETİ KIBRIS ŞEHİTLERİ İZMİR ŞUBESİ,ALSANCAK MAHALLESİ KIBRIS ŞEHİTLERİ CAD. NO:55 KONAK / İZMİR
1877901,201700,ANONİM,AKDENİZ,KONAK,20,KOZMETİK GRUBU,A.S.WATSON GÜZELLİK VE BAKIM ÜRÜNLERİ TİCARET ANONİM ŞİRKETİ KONAK PİER ALIŞVERİŞ MERKEZİ İZMİR ŞUBESİ,AKDENİZ MAHALLESİ ATATÜRK CAD. NO:19/Z18 KONAK / İZMİR
1799381,193749,ANONİM,MAVİŞEHİR,KARŞIYAKA,20,KOZMETİK GRUBU,A.S.WATSON GÜZELLİK VE BAKIM ÜRÜNLERİ TİCARET ANONİM ŞİRKETİ MAVİ  BAHÇE ALIŞVERİŞ MERKEZİ İZMİR ŞUBESİ,MAVİŞEHİR MAHALLESİ AZİZ NESİN BULVARI NO:24/201 KARŞIYAKA / İZMİR
1695001,183392,ANONİM,ÇETİN EMEÇ,BALÇOVA,20,KOZMETİK GRUBU,A.S.WATSON GÜZELLİK VE BAKIM ÜRÜNLERİ TİCARET ANONİM ŞİRKETİ SELWAY OUTLET PARK ALIŞVERİŞ MERKEZİ İZMİR ŞUBESİ,ÇETİN EMEÇ MAHALLESİ KIVANÇ SK. BALÇOVA / İZMİR
1709171,184749,ANONİM,İSMAİL KAPTAN,KONAK,20,KOZMETİK GRUBU,A.S.WATSON GÜZELLİK VE BAKIM ÜRÜNLERİ TİCARET ANONİM ŞİRKETİ ŞAİR  EŞREF İZMİR ŞUBESİ,İSMAİL KAPTAN MAHALLESİ ŞAİR EŞREF BULV. NO:11/A KONAK / İZMİR
682421,88956,LİMİTED,ATATÜRK,MENDERES,20,KOZMETİK GRUBU,AAC TURİZM İNŞAAT GIDA EV ÜRÜNLERİ VE DANIŞMANLIK PAZARLAMA İÇ VE DIŞ  TİCARET LİMİTED ŞİRKETİ,ATATÜRK MAHALLESİ 6302 SOKAK NO:6/A GÜMÜLDÜR MENDERES / İZMİR
1943551,208300,LİMİTED,ÇAMLIKULE,BUCA,20,KOZMETİK GRUBU,AB UFUK TANITIM ORGANİZASYON KOZMETİK AYAKKABI TURİZM SANAYİ VE TİCARET LİMİTED ŞİRKETİ,ÇAMLIKULE MAHALLESİ 290 SK. NO:27/A BUCA / İZMİR
1982501,212220,LİMİTED,BAHRİYE ÜÇOK,KARŞIYAKA,20,KOZMETİK GRUBU,ABSORBERR KOZMETİK HEDİYELİK EŞYA İTHALAT İHRACAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,BAHRİYE ÜÇOK MAHALLESİ 1834/2 SK. AHU BLOK NO: 10B KARŞIYAKA / İZMİR
2294526,244428,ANONİM,ZÜBEYDE HANIM,KARŞIYAKA,20,KOZMETİK GRUBU,ACESO COSMETİCS İÇ VE DIŞ TİCARET SANAYİ ANONİM ŞİRKETİ,ZÜBEYDE HANIM MAH. 7448/4 SK. NO: 33 İÇ KAPI NO: 115 KARŞIYAKA / İZMİR
2199121,234031,LİMİTED,BASIN SİTESİ,KARABAĞLAR,20,KOZMETİK GRUBU,ADA KİŞİSEL BAKIM VE KOZMETİK ÜRÜNLERİ TİCARET LİMİTED ŞİRKETİ ,BASIN SİTESİ MAHALLESİ 175/3 SOKAK NO: 17B İÇ KAPI NO: B KARABAĞLAR / İZMİR
2294958,244866,LİMİTED,ALAYBEY,KARŞIYAKA,20,KOZMETİK GRUBU,ADE KİŞİSEL BAKIM İÇ VE DIŞ TİCARET LİMİTED ŞİRKETİ,ALAYBEY MAH. METİN ALTIOK SK. NO: 25A KARŞIYAKA / İZMİR
2295017,244925,LİMİTED,BAHÇELİEVLER,KARŞIYAKA,20,KOZMETİK GRUBU,ADERM KOZMETİK ÜRÜNLERİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ,BAHÇELİEVLER MAH. ANADOLU CAD. NO: 323 İÇ KAPI NO: 9 KARŞIYAKA / İZMİR
2288211,243024,LİMİTED,BADEMLER,URLA,20,KOZMETİK GRUBU,AEEA KOZMETİK MAĞAZACILIK LİMİTED ŞİRKETİ,BADEMLER MAHALLESİ 15035/3 NO:2 URLA / İZMİR
1241721,137306,LİMİTED,ATAŞEHİR,ÇİĞLİ,20,KOZMETİK GRUBU,AHG TURİZM GIDA İNŞAAT SANAYİ TİCARET LİMİTED ŞİRKETİ,ATAŞEHİR MAHALLESİ YENİHAVAALANI CADDESİ NO:40/Z101 ÇİĞLİ / İZMİR
