Oda Sicil No,Ticari Sicil No,Şirket Türü,Mahalle Adı,İlçe Adı,Meslek Grubu Numarası,Meslek Grubu Adı,Ünvanı,Tescilli Adresi
2232591,237412,LİMİTED,EGEMENLİK,BORNOVA,37,KAĞIT VE AMBALAJ GRUBU,4A AMBALAJ MATBAA REKLAMCILIK SANAYİ VE TİCARET LİMİTED ŞİRKETİ ,EGEMENLİK MAHALLESİ 6152 SK. NO:20/A BORNOVA / İZMİR
2022161,216239,LİMİTED,EGEMENLİK,BORNOVA,37,KAĞIT VE AMBALAJ GRUBU,A BOX AMBALAJ İTHALAT İHRACAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ ,EGEMENLİK MAHALLESİ 6106/21 SOKAK NO: 6 BORNOVA / İZMİR
1655871,179450,ANONİM,ADALET,BAYRAKLI,37,KAĞIT VE AMBALAJ GRUBU,A C GLOBAL AMBALAJ SANAYİ VE TİCARET ANONİM ŞİRKETİ,ADALET MAHALLESİ ŞEHİT POLİS FETHİ SEKİN CAD. NO: 4/244 BAYRAKLI/İZMİR
2136711,227734,LİMİTED,İTOB OSB,MENDERES,37,KAĞIT VE AMBALAJ GRUBU,A.TURNA GIDA TURİZM TEKSTİL SANAYİ TİCARET LİMİTED ŞİRKETİ MENDERES 2 ŞUBESİ,İTOB OSB MAHALLESİ 10014 SOKAK MENDERES / İZMİR
2295347,245263,LİMİTED,UMURBEY,KONAK,37,KAĞIT VE AMBALAJ GRUBU,ABONE TEMİZLİK MALZEMELERİ HİZMET SANAYİ VE TİCARET LİMİTED ŞİRKETİ KEMALPAŞA ÜRETİM TESİSİ ŞUBESİ,UMURBEY MAH. 1525 SK. NO: 44 KONAK / İZMİR
328221,97,ANONİM,İTOB OSB,MENDERES,37,KAĞIT VE AMBALAJ GRUBU,AÇILIM KUTU SANAYİ VE TİCARET ANONİM ŞİRKETİ ,İTOB OSB MAHALLESİ 10025 SOKAK NO:18 TEKELİ MENDERES / İZMİR
1657051,179577,ANONİM,EGEMENLİK,BORNOVA,37,KAĞIT VE AMBALAJ GRUBU,ADAY KAĞIT İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ,EGEMENLİK MAHALLESİ 6106/17 SK. NO: 8 /1 BORNOVA/İZMİR
2210901,235219,LİMİTED,ZAFER SB,GAZİEMİR,37,KAĞIT VE AMBALAJ GRUBU,AEGEAN PACKAGE AMBALAJ SANAYİ TİCARET LİMİTED ŞİRKETİ,ZAFER SB MAH. AYHAN SK. NO: 22 İÇ KAPI NO: 1 GAZİEMİR / İZMİR
2300616,250546,LİMİTED,KIZILÜZÜM,KEMALPAŞA,37,KAĞIT VE AMBALAJ GRUBU,AFN AMBALAJ SANAYİ VE TİCARET LİMİTED ŞİRKETİ,KIZILÜZÜM MAH. KEMALPAŞA KIZILÜZÜM KIROVASI KÜME EVLERİ NO: 3/1B İÇ KAPI NO: 1 KEMALPAŞA / İZMİR
1794061,193192,LİMİTED,KEMALPAŞA OSB,KEMALPAŞA,37,KAĞIT VE AMBALAJ GRUBU,AKSAN OFSET AMBALAJ SANAYİ VE TİCARET LİMİTED ŞİRKETİ,KEMALPAŞA OSB MAH. 620 SK. SANAYİ NO: 4 KEMALPAŞA / İZMİR
1836911,197546,LİMİTED,BUCAOSB,BUCA,37,KAĞIT VE AMBALAJ GRUBU,AKYÜKSEL AMBALAJ PLASTİK VE KAĞIT ÜRÜNLERİ TEMİZLİK MALZEMELERİ PAZARLAMA SANAYİ TİCARET LİMİTED ŞİRKETİ BUCA ŞUBESİ,BUCAOSB MAH. REMZİ PEKÖZ CAD. NO: 5 BUCA / İZMİR
1543591,166990,ANONİM,KARACAOĞLAN,BORNOVA,37,KAĞIT VE AMBALAJ GRUBU,ALBAYRAK AMBALAJ TURİZM İNŞAAT SANAYİ VE TİCARET ANONİM ŞİRKETİ İZMİR ŞUBESİ,KARACAOĞLAN MAH. 6172 SK. NO: 26 BORNOVA / İZMİR
2258831,240047,LİMİTED,FATİH,GAZİEMİR,37,KAĞIT VE AMBALAJ GRUBU,ALFA HAM MADDE KAĞIT VE ETİKET İTHALAT İHRACAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,FATİH MAH. 1142 SK. NO: 14/3 GAZİEMİR / İZMİR
1554661,168104,ANONİM,EVKA 3,BORNOVA,37,KAĞIT VE AMBALAJ GRUBU,ALİ HİSAR GURUP KAĞIT VE MAKİNE SANAYİ TİCARET ANONİM ŞİRKETİ,EVKA 3 MAHALLESİ 129/4 SK. NO:28/B 4. SANAYİ SİTESİ BORNOVA / İZMİR
2300515,250443,LİMİTED,FATİH,GAZİEMİR,37,KAĞIT VE AMBALAJ GRUBU,ALİN BASKI AMBALAJ İNŞAAT SANAYİ TİCARET LİMİTED ŞİRKETİ,FATİH MAH. 1142 SK. NO: 14/2 GAZİEMİR / İZMİR
2248351,238999,LİMİTED,ADALET,BAYRAKLI,37,KAĞIT VE AMBALAJ GRUBU,ALKE KAĞITÇILIK İÇ VE DIŞ TİCARET LİMİTED ŞİRKETİ ,ADALET MAHALLESİ ANADOLU CAD. MEGAPOL TOWER BLOK NO: 41 İÇ KAPI NO: 081 BAYRAKLI / İZMİR
1820791,195933,ANONİM,ALSANCAK,KONAK,37,KAĞIT VE AMBALAJ GRUBU,ALKİM KAĞIT SANAYİ VE TİCARET ANONİM ŞİRKETİ İZMİR ŞUBESİ,ALSANCAK MAHALLESİ 1476 SK. NO: 2/42 KONAK/İZMİR
363071,54624,LİMİTED,MERİÇ,BORNOVA,37,KAĞIT VE AMBALAJ GRUBU,ALPER KUTU VE AMBALAJ SANAYİ VE TİCARET LİMİTED ŞİRKETİ,MERİÇ MAH. 5748/1 SK. SEDAT ÇINARLI SİTESİ NO: 17 İÇ KAPI NO: Z1 BORNOVA / İZMİR
