Oda Sicil No,Ticari Sicil No,Şirket Türü,Mahalle Adı,İlçe Adı,Meslek Grubu Numarası,Meslek Grubu Adı,Ünvanı,Tescilli Adresi
1272211,140223,LİMİTED,MERİÇ,BORNOVA,34,GÜVENLİK VE DESTEK FAALİYETLERİ GRUBU,2 AMBALAJ PAKETLEME SANAYİ VE TİCARET LİMİTED ŞİRKETİ ,MERİÇ MAHALLESİ 5646 SOKAK NO:16/2 BORNOVA / İZMİR
1912201,205134,LİMİTED,ZAFERTEPE,KONAK,34,GÜVENLİK VE DESTEK FAALİYETLERİ GRUBU,3 YILDIZ TURİZM GIDA İNŞAAT NAKLİYE TEKSTİL SANAYİ VE TİCARET  LİMİTED ŞİRKETİ,ZAFERTEPE MAHALLESİ YEŞİLLİK CADDESİ NO:21 KONAK / İZMİR
2257431,239883,LİMİTED,BOSTANLI,KARŞIYAKA,34,GÜVENLİK VE DESTEK FAALİYETLERİ GRUBU,7 24 ÖZEL GÜVENLİK VE KORUMA HİZMETLERİ LİMİTED ŞİRKETİ,BOSTANLI MAHALLESİ GİRNE BULVARI NO: 25 İÇ KAPI NO: 3 KARŞIYAKA / İZMİR
1822671,196131,ANONİM,ALAÇATI,ÇEŞME,34,GÜVENLİK VE DESTEK FAALİYETLERİ GRUBU,A KLAS TURİZM YATIRIMLARI ANONİM ŞİRKETİ ,ALAÇATI MAHALLESİ 18001 SK. NO:3/1/C ÇEŞME / İZMİR
1085921,119897,LİMİTED,TURGUT REİS,KONAK,34,GÜVENLİK VE DESTEK FAALİYETLERİ GRUBU,A.H.M. GÜVENLİK SİSTEMLERİ VE İLETİŞİM MALZEMELERİ SANAYİ TİCARET LİMİTED ŞİRKETİ,TURGUT REİS MAHALLESİ MİTHATPAŞA CADDESİ NO:374 DAİRE:2 KARATAŞ KONAK / İZMİR
809531,89687,ANONİM,HALKAPINAR,KONAK,34,GÜVENLİK VE DESTEK FAALİYETLERİ GRUBU,A1 ALARM GÜVENLİK OTOMASYON VE HABERLEŞME SİSTEMLERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,HALKAPINAR MAHALLESİ 1004 SK NO:7 BORAN PLAZA İŞ MERKEZİ C BLOK KONAK / İZMİR
2072101,221248,ANONİM,DOKUZ EYLÜL,GAZİEMİR,34,GÜVENLİK VE DESTEK FAALİYETLERİ GRUBU,ABİS KONTROL SİSTEMLERİ İNŞAAT SANAYİ VE TİCARET ANONİM ŞİRKETİ,DOKUZ EYLÜL MAH. ULAŞTIRMA CAD. NO: 1F GAZİEMİR / İZMİR
2237411,237904,ANONİM,ATİLLA,KONAK,34,GÜVENLİK VE DESTEK FAALİYETLERİ GRUBU,ADEM VE DENİZ ÇAĞRI MERKEZİ E-TİCARET TELEKOMÜNİKASYON İNŞAAT GIDA İÇECEK TEKSTİL TURİZM SANAYİ VE TİCARET ANONİM ŞİRKETİ,ATİLLA MAH. 499 SK. ALİ RIZA BEY NO: 19A KONAK / İZMİR
1977311,211716,ANONİM,ALSANCAK,KONAK,34,GÜVENLİK VE DESTEK FAALİYETLERİ GRUBU,ADEO REKLAM PAZARLAMA VE İLETİŞİM HİZMETLERİ ANONİM ŞİRKETİ,ALSANCAK MAHALLESİ 1476 SK. NO: 2/18 KONAK/İZMİR
2297901,247819,LİMİTED,YİĞİTLER,BUCA,34,GÜVENLİK VE DESTEK FAALİYETLERİ GRUBU,ADES VİZE DANIŞMANLIK İNŞAAT GASTRONOMİ ELEKTRİK ELEKTRONİK EMLAK ARAÇ KİRALAMA VE ORGANİZASYON LİMİTED ŞİRKETİ,YİĞİTLER MAH. MENDERES CAD. ÜNLÜ NO: 214 İÇ KAPI NO: 1 BUCA / İZMİR
