Oda Sicil No,Ticari Sicil No,Şirket Türü,Mahalle Adı,İlçe Adı,Meslek Grubu Numarası,Meslek Grubu Adı,Ünvanı,Tescilli Adresi
1812391,195091,LİMİTED,TUNA,BORNOVA,35,EĞİTİM GRUBU,100 YIL ÖZEL EĞİTİM VE ÖĞRETİM KURUMLARI TİCARET LİMİTED ŞİRKETİ ,TUNA MAHALLESİ 5500/1 SOKAK NO:12/101 BORNOVA / İZMİR
2086351,222681,ANONİM,ERZENE,BORNOVA,35,EĞİTİM GRUBU,29 MAYIS EĞİTİM KURUMLARI ANONİM ŞİRKETİ BORNOVA KOLEJİ ŞUBESİ,ERZENE MAHALLESİ 116/5 SOK. İZMİR BORNOVA ÇOK AMACLI SALON Apt. NO: 4/2 BORNOVA / İZMİR
1299911,143057,LİMİTED,ALAYBEY,KARŞIYAKA,35,EĞİTİM GRUBU,300 BAR İNŞAAT PROJE TURİZM EĞİTİM MİMARLIK MÜHENDİSLİK DENİZCİLİK SANAYİ VE TİCARET LİMİTED ŞİRKETİ,ALAYBEY MAHALLESİ MEHMET İHSAN ZEYREK SK. NO:38 DAİRE:1 KARŞIYAKA / İZMİR
1659841,179862,ANONİM,İSMET KAPTAN,KONAK,35,EĞİTİM GRUBU,3E AKADEMİ ULUSLARARASI EĞİTİM HİZMETLERİ ANONİM ŞİRKETİ ,İSMET KAPTAN MAHALLESİ HÜRRİYET BULVARI NİYAZİ ERSOY İŞ MERKEZİ BLOK NO: 8 İÇ KAPI KONAK / İZMİR
2201551,234260,LİMİTED,YENİ,URLA,35,EĞİTİM GRUBU,4 Pİ RE KARE ÖZEL ÖĞRETİM KURUMLARI BASIM YAYIN VE TİCARET LİMİTED ŞİRKETİ,YENİ MAH. NECATİ CUMALI CAD. NO: 38A URLA / İZMİR
2028761,216899,ANONİM,KASIMPAŞA,MENDERES,35,EĞİTİM GRUBU,4S EĞİTİM DANIŞMANLIK ANONİM ŞİRKETİ,KASIMPAŞA MAH. 254 SK. NO: 2 İÇ KAPI NO: 1 MENDERES / İZMİR
2195061,233626,LİMİTED,KURUÇEŞME,BUCA,35,EĞİTİM GRUBU,5 NİSAN ÖZEL EĞİTİM KURUMLARI VE DANIŞMANLIK HİZMETLERİ TİCARET  LİMİTED ŞİRKETİ,KURUÇEŞME MAHALLESİ 203/42 SK. NO:4/A BUCA / İZMİR
2019521,215922,LİMİTED,KÜLTÜR,KONAK,35,EĞİTİM GRUBU,5N EĞİTİM DANIŞMANLIK HİZMETLERİ LİMİTED ŞİRKETİ,KÜLTÜR MAHALLESİ DR. MUSTAFA ENVER BEY CAD. BERKİ APT APT. NO: 1 /1/21 KONAK/İZMİR
2046631,218669,ANONİM,BALATÇIK,ÇİĞLİ,35,EĞİTİM GRUBU,7R COGNITIONIS BİLGİ DANIŞMANLIK İLETİŞİM TEKNOLOJİLERİ PAZARLAMA DAHİLİ VE DIŞ TİCARET ANONİM ŞİRKETİ,BALATÇIK MAHALLESİ 8789/4 SK. A APT. NO: 2 A/63 ÇİĞLİ/İZMİR
1949231,208890,ANONİM,ADALET,BAYRAKLI,35,EĞİTİM GRUBU,A ARTI EGE DANIŞMANLIK ANONİM ŞİRKETİ ,ADALET MAHALLESİ 1586/3 SOK. NO:40/1 BAYRAKLI / İZMİR
