Oda Sicil No,Ticari Sicil No,Şirket Türü,Mahalle Adı,İlçe Adı,Meslek Grubu Numarası,Meslek Grubu Adı,Ünvanı,Tescilli Adresi
1406361,153525,LİMİTED,BUCA-KOOP,BUCA,9,EKMEK VE UNLU MAMÜLLER GRUBU,25 ŞUBAT UNLU MAMULLERİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ ,BUCA-KOOP MAHALLESİ AHMET PRİŞTİNA BLV. NO:19/A BUCA / İZMİR
1549121,167542,LİMİTED,YILDIZ,BUCA,9,EKMEK VE UNLU MAMÜLLER GRUBU,25 ŞUBAT UNLU MAMULLERİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ AHMET YESEVİ ŞUBESİ,YILDIZ MAHALLESİ HOCA AHMET YESEVI CADDESI NO:32/A BUCA / İZMİR
1549131,167539,LİMİTED,BUCAKOOP,BUCA,9,EKMEK VE UNLU MAMÜLLER GRUBU,25 ŞUBAT UNLU MAMULLERİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ BUCA KOOP ŞUBESİ,BUCAKOOP MAHALLESİ 1407 SK. NO:1/A BUCA / İZMİR
1615671,175451,LİMİTED,AHMET TANER KIŞLALI,ÇİĞLİ,9,EKMEK VE UNLU MAMÜLLER GRUBU,ACAR GIDA ÜRÜNLERİ SANAYİ TİCARET LİMİTED ŞİRKETİ ,AHMET TANER KIŞLALI MAHALLESİ 6800 SK. NO:4/B ÇİĞLİ / İZMİR
2307032,256992,LİMİTED,KAZIMDİRİK,BORNOVA,9,EKMEK VE UNLU MAMÜLLER GRUBU,ACAR KARDEŞLER GEVREK EVİ UNLU MAMULLER SANAYİ VE TİCARET LİMİTED ŞİRKETİ,KAZIMDİRİK MAH. 166 SK. YASEMİN NO: 2A İÇ KAPI NO: Z BORNOVA / İZMİR
2053031,219326,LİMİTED,YENİMAHALLE,ÇİĞLİ,9,EKMEK VE UNLU MAMÜLLER GRUBU,ACARLAR ACR GIDA İNŞAAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ ,YENİMAHALLE MAHALLESİ 8045 SK. NO:37/1 B BLOK Apt. ÇİĞLİ / İZMİR
2304523,254473,LİMİTED,İNKILAP,BUCA,9,EKMEK VE UNLU MAMÜLLER GRUBU,ACARLAR METRO UNLU MAMULLERİ İÇ VE DIŞ TİCARET LİMİTED ŞİRKETİ,İNKILAP MAH. 504 SK. NO: 30 BUCA / İZMİR
1857141,199594,LİMİTED,UĞUR MUMCU,ÇİĞLİ,9,EKMEK VE UNLU MAMÜLLER GRUBU,ACR BAŞAK UNLU MAMÜLLER GIDA İNŞAAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,UĞUR MUMCU MAHALLESİ 8790/5 SK. NO: 103 A/_ ÇİĞLİ/İZMİR
1351701,148197,LİMİTED,BENGİLER,SEFERİHİSAR,9,EKMEK VE UNLU MAMÜLLER GRUBU,AFEKSAN GIDA İNŞAAT NAKLİYAT VE TURİZM TİCARET SANAYİ LİMİTED ŞİRKETİ- ÜRKMEZ ŞUBESİ,BENGİLER MAHALLESİ ÜRKMEZ CAD. SEFERİHİSAR / İZMİR
543431,234,LİMİTED,FEVZİÇAKMAK,GÜMÜLDÜR,9,EKMEK VE UNLU MAMÜLLER GRUBU,AFEKSAN GIDA İNŞAAT NAKLİYAT VE TURİZM TİCARET VE SANAYİ LİMİTED ŞİRKETİ,FEVZİÇAKMAK MAHALLESİ OVACIK CD. NO:1 GÜMÜLDÜR / İZMİR
2226131,236751,LİMİTED,UĞUR MUMCU,KARABAĞLAR,9,EKMEK VE UNLU MAMÜLLER GRUBU,AKBAY UNLU MAMULLER SANAYİ TİCARET LİMİTED ŞİRKETİ ,UĞUR MUMCU MAHALLESİ 5714/2 SK. NO:16/A İÇ KAPI NO: A KARABAĞLAR / İZMİR
2050971,219117,LİMİTED,YUNUS EMRE,KARABAĞLAR,9,EKMEK VE UNLU MAMÜLLER GRUBU,AKBULUTLAR UNLU MAMÜLLER SANAYİ VE TİCARET LİMİTED ŞİRKETİ ,YUNUS EMRE MAHALLESİ 4152/1 SK. NO:9 KARABAĞLAR / İZMİR
1968181,210771,LİMİTED,GÜLYAKA,KARABAĞLAR,9,EKMEK VE UNLU MAMÜLLER GRUBU,AKINCI UNLU MAMULLERİ GIDA VE KERESTECİLİK İTHALAT İHRACAT TİCARET  SANAYİ LİMİTED ŞİRKETİ,GÜLYAKA MAHALLESİ ESKİ İZMİR CAD. NO:210 KARABAĞLAR / İZMİR
2039091,217927,LİMİTED,YALI,ÇEŞME,9,EKMEK VE UNLU MAMÜLLER GRUBU,AKKUŞ UNLU MAMULLER GIDA İNŞAAT TAAHHÜT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,YALI MAHALLESİ 6000 SK. NO: 82 ÇEŞME/İZMİR
1919551,205898,LİMİTED,EGEMENLİK,BORNOVA,9,EKMEK VE UNLU MAMÜLLER GRUBU,AKSARAY UNLU MAMÜLLERİ GIDA SANAYİ VE TİCARET LİMİTED ŞİRKETİ İZMİR  ŞUBESİ,EGEMENLİK MAHALLESİ 6106/17 SOKAK NO:16/1 BORNOVA / İZMİR
1920811,206012,ANONİM,İSMET İNÖNÜ,ÇEŞME,9,EKMEK VE UNLU MAMÜLLER GRUBU,AKSU FIRINCILIK EKMEK VE HAYVANCILIK SANAYİ TİCARET ANONİM ŞİRKETİ,İSMET İNÖNÜ MAH. 2001 SK. NO: 72A ÇEŞME / İZMİR
2295082,244989,LİMİTED,EGEMENLİK,BORNOVA,9,EKMEK VE UNLU MAMÜLLER GRUBU,AKTAYLAR FIRIN İŞLETMESİ LİMİTED ŞİRKETİ,EGEMENLİK MAH. ALP CAD. HALUK TEZCAN SİTESİ NO: 29 İÇ KAPI NO: A BORNOVA / İZMİR
2256801,239842,LİMİTED,MANSUROĞLU,BAYRAKLI,9,EKMEK VE UNLU MAMÜLLER GRUBU,AKY PASTA ATÖLYESİ VE GIDA LİMİTED ŞİRKETİ,MANSUROĞLU MAH. 286/1 SK. NO: 13G BAYRAKLI / İZMİR
2236871,237853,LİMİTED,ÜMİT,BORNOVA,9,EKMEK VE UNLU MAMÜLLER GRUBU,AKYILDIZ TARIM GIDA TURİZM NAKLİYE OTOMOTİV SANAYİ VE TİCARET  LİMİTED ŞİRKETİ,ÜMİT MAHALLESİ 7303 SOKAK NO: 33A BORNOVA / İZMİR
2299911,249835,LİMİTED,YALI,KARŞIYAKA,9,EKMEK VE UNLU MAMÜLLER GRUBU,AKYILDIZ TARIM GIDA TURİZM NAKLİYE OTOMOTİV SANAYİ VE TİCARET LİMİTED ŞİRKETİ KARŞIYAKA ŞUBESİ,YALI MAH. 6418 SK. MUZAFFER BEY NO: 73A KARŞIYAKA / İZMİR
2280481,242223,LİMİTED,YAYLACIK,BUCA,9,EKMEK VE UNLU MAMÜLLER GRUBU,ALA FIRIN SANAYİ VE TİCARET LİMİTED ŞİRKETİ,YAYLACIK MAHALLESİ 184 SK. NO: 64A BUCA / İZMİR
1277951,141128,LİMİTED,ÇAMTEPE,NARLIDERE,9,EKMEK VE UNLU MAMÜLLER GRUBU,ALACA SETE UN MAMULLERİ GIDA TURİZM İNŞAAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,ÇAMTEPE MAHALLESİ UYANIŞ SK. NO:21/A NARLIDERE/İZMİR
2084951,222536,LİMİTED,ÇAMTEPE,NARLIDERE,9,EKMEK VE UNLU MAMÜLLER GRUBU,ALACA SETE UN MAMULLERİ GIDA TURİZM İNŞAAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ NARLIDERE 2 ŞUBESİ,ÇAMTEPE MAHALLESİ ÇELEBİ SK. NO: 1 /1A NARLIDERE/İZMİR
