Oda Sicil No,Ticari Sicil No,Şirket Türü,Mahalle Adı,İlçe Adı,Meslek Grubu Numarası,Meslek Grubu Adı,Ünvanı,Tescilli Adresi
1462831,158890,LİMİTED,TUNA,BORNOVA,11,GIDA İMALAT VE TOPTAN TİCARET GRUBU,1D1 GIDA ÜRÜNLERİ PAZARLAMA SANAYİ VE TİCARET LİMİTED ŞİRKETİ,TUNA MAHALLESİ SANAT CADDESİ NO: 17V BORNOVA / İZMİR
1701461,184021,LİMİTED,AOSB,ÇİĞLİ,11,GIDA İMALAT VE TOPTAN TİCARET GRUBU,2 E TARIM VE GIDA SANAYİ TİCARET LİMİTED ŞİRKETİ ,AOSB MAHALLESİ 10026 SK. NO:2 ÇİĞLİ / İZMİR
1321911,145331,LİMİTED,YENİŞEHİR,KONAK,11,GIDA İMALAT VE TOPTAN TİCARET GRUBU,2010 TÜKETİM MALLARI AMBALAJ GIDA TURİZM İNŞAAT OTOMOTİV SANAYİ TİCARET LİMİTED ŞİRKETİ,YENİŞEHİR MAH. PAKİSTAN BUL. NO: 7 KONAK / İZMİR
1779761,191764,LİMİTED,MENDERES,BUCA,11,GIDA İMALAT VE TOPTAN TİCARET GRUBU,25 ŞUBAT UNLU MAMULLERİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ  MENDERES ŞUBESİ,MENDERES MAHALLESİ ERDEM CADDESI NO:141/A BUCA / İZMİR
2150811,229155,LİMİTED,EGEMENLİK,BORNOVA,11,GIDA İMALAT VE TOPTAN TİCARET GRUBU,7 KITA GIDA LİMİTED ŞİRKETİ,EGEMENLİK MAH. 6016/6 SK. NO: 5/1 BORNOVA / İZMİR
1731501,186934,LİMİTED,ADATEPE,BUCA,11,GIDA İMALAT VE TOPTAN TİCARET GRUBU,9 EYLÜL GIDA MADDELERİ İNŞAAT OTOMOTİV TURİZM SANAYİ VE TİCARET LİMİTED ŞİRKETİ,ADATEPE MAHALLESİ 8/5 SK. NO: 1 B BUCA/İZMİR
1447161,157346,LİMİTED,MANSUROĞLU,BAYRAKLI,11,GIDA İMALAT VE TOPTAN TİCARET GRUBU,A.KUARTET GIDA PAZARLAMA İÇ VE DIŞ TİCARET LİMİTED ŞİRKETİ,MANSUROĞLU MAH. 1593/1 SK. İNŞAAT BLOK NO: 4 İÇ KAPI NO: 88 BAYRAKLI / İZMİR
2303517,253457,ANONİM,FIRAT,BUCA,11,GIDA İMALAT VE TOPTAN TİCARET GRUBU,AAT GIDA MADENCİLİK SANAYİ VE TİCARET ANONİM ŞİRKETİ,FIRAT MAH. 265/8 SK. NO: 43A BUCA / İZMİR
2295043,244954,LİMİTED,ADALET,BAYRAKLI,11,GIDA İMALAT VE TOPTAN TİCARET GRUBU,ABATERRA ULUSLARARASI TİCARET LİMİTED ŞİRKETİ,ADALET MAH. MANAS BUL. FOLKART TOWERS BLOK NO: 47B İÇ KAPI NO: 2601 BAYRAKLI / İZMİR
2252511,239405,LİMİTED,ÇINARLI,KONAK,11,GIDA İMALAT VE TOPTAN TİCARET GRUBU,ABK YAĞ DIŞ TİCARET LİMİTED ŞİRKETİ İZMİR ŞUBESİ,ÇINARLI MAH. OZAN ABAY CAD. EGEPERLA NO: 8 İÇ KAPI NO: Z17 KONAK / İZMİR
