Oda Sicil No,Ticari Sicil No,Şirket Türü,Mahalle Adı,İlçe Adı,Meslek Grubu Numarası,Meslek Grubu Adı,Ünvanı,Tescilli Adresi
2306414,256370,LİMİTED,ADALET,BAYRAKLI,66,İNŞAAT MALZEMELERİ GRUBU,2H İNŞAAT MALZEMELERİ DEKORASYON İTHALAT VE İHRACAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,ADALET MAH. MANAS BUL. FOLKART TOWERS NO: 39 İÇ KAPI NO: 3201 BAYRAKLI / İZMİR
1435331,156191,LİMİTED,OĞLANANASI ATATÜRK,MENDERES,66,İNŞAAT MALZEMELERİ GRUBU,3B TEKNİK HIRDAVAT BOYA KİMYA MAKİNA YEDEK PARÇA İNŞAAT GIDA TURİZM SANAYİ VE TİCARET LİMİTED ŞİRKETİ,OĞLANANASI ATATÜRK MAHALLESİ MEHMET AKİF CAD. NO: 39/ MENDERES/İZMİR
1631211,177005,LİMİTED,ADALET,BAYRAKLI,66,İNŞAAT MALZEMELERİ GRUBU,3GEN YAPI MALZEMELERİ PAZARLAMA VE EMLAK İNŞAAT TAAHHÜT HAFRİYAT NAKLİYAT HİZMETLERİ SANAYİ TİCARET LİMİTED ŞİRKETİ,ADALET MAH. MANAS BUL. NO: 39 İÇ KAPI NO: 3408 BAYRAKLI / İZMİR
2283541,242550,ANONİM,CUMHURİYET,KARŞIYAKA,66,İNŞAAT MALZEMELERİ GRUBU,3N1K YAPI MALZEMELERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,CUMHURİYET MAHALLESİ ANADOLU CADDESİ NO: 498A KARŞIYAKA / İZMİR
2167331,230807,LİMİTED,ATAŞEHİR,ÇİĞLİ,66,İNŞAAT MALZEMELERİ GRUBU,4AC YAPI MALZEMELERİ ENERJİ ÜRETİM MADENCİLİK İNŞAAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,ATAŞEHİR MAHALLESİ 8216 SOKAK B BLOK SİTESİ GÜNEŞ BLOK NO: 3A ATAŞEHİR ÇİĞLİ / İZMİR
2077421,221781,ANONİM,KARACAOĞLAN,BORNOVA,66,İNŞAAT MALZEMELERİ GRUBU,5 YAPI PAZARLAMA DOĞAL GAZ İTHALAT İHRACAT ANONİM ŞİRKETİ,KARACAOĞLAN MAH. 6169 SK. ALİ MEYVA SİTESİ NO: 9C BORNOVA / İZMİR
1796051,193423,ANONİM,AKDENİZ,KONAK,66,İNŞAAT MALZEMELERİ GRUBU,A BC DIŞ TİCARET VE DANIŞMANLIK ANONİM ŞİRKETİ,AKDENİZ MAHALLESİ CUMHURİYET BLV. ERDEN İŞ HANI APT. NO: 87/21 KONAK/İZMİR
1272331,138858,LİMİTED,FATİH,GAZİEMİR,66,İNŞAAT MALZEMELERİ GRUBU,A.F.S CAM AYNA MOBİLYA VE ALÜMİNYUM İMALAT SANAYİ TİCARET LİMİTED ŞİRKETİ,FATİH MAHALLESİ 1185 SOK. NO:12 GAZİEMİR / İZMİR
2057591,219777,LİMİTED,SAHİLEVLERİ,NARLIDERE,66,İNŞAAT MALZEMELERİ GRUBU,ABACI YAPI MALZEMELERİ İNŞAAT GIDA HAYVANCILIK NAKLİYAT SANAYİ TİCARET LİMİTED ŞİRKETİ,SAHİLEVLERİ MAHALLESİ KALE SK. NO: 79/2 NARLIDERE/İZMİR
1494001,161994,LİMİTED,OĞLANANASI ATATÜRK,MENDERES,66,İNŞAAT MALZEMELERİ GRUBU,ABAYIR BOYA İNŞAAT HIRDAVAT SANAYİ TİCARET LİMİTED ŞİRKETİ,OĞLANANASI ATATÜRK MAHALLESİ 2 CAD. NO:137 MENDERES / İZMİR
1278461,141184,LİMİTED,ŞİRİNKENT,URLA,66,İNŞAAT MALZEMELERİ GRUBU,ABN HAVACILIK SANAYİ VE TİCARET LİMİTED ŞİRKETİ,ŞİRİNKENT MAHALLESİ 4228/1 NO:42-5 EGELİ 3 SİTESİ URLA / İZMİR
1839191,197774,LİMİTED,KIZILAY,BORNOVA,66,İNŞAAT MALZEMELERİ GRUBU,ACILAR YAPI MALZEMELERİ İNŞAAT TURİZM NAKLİYE SANAYİ TİCARET LİMİTED  ŞİRKETİ,KIZILAY MAHALLESİ 506 SOKAK NO:32/A BORNOVA / İZMİR
1664381,180310,ANONİM,FAHRETTİN ALTAY,KARABAĞLAR,66,İNŞAAT MALZEMELERİ GRUBU,ADA GRANİT DOĞAL TAŞLAR SANAYİ VE TİCARET ANONİM ŞİRKETİ,FAHRETTİN ALTAY MAH. 65/12 SK. NO: 6A KARABAĞLAR / İZMİR
2305255,255201,LİMİTED,KEMALPAŞA,BORNOVA,66,İNŞAAT MALZEMELERİ GRUBU,ADİL STONE MADENCİLİK SANAYİ VE TİCARET LİMİTED ŞİRKETİ,KEMALPAŞA MAH. 7083 SK. NO: 9 İÇ KAPI NO: 1 BORNOVA / İZMİR
2286731,242874,LİMİTED,ERGENE,BORNOVA,66,İNŞAAT MALZEMELERİ GRUBU,ADİL YALITIM İZOLASYON SANAYİ TİCARET LİMİTED ŞİRKETİ,ERGENE MAHALLESİ 533 SK. EBRU BLOK NO: 2A BORNOVA / İZMİR
2300660,250596,LİMİTED,ALSANCAK,KONAK,66,İNŞAAT MALZEMELERİ GRUBU,AEGEAN MOBİLYA İNŞAAT ULUSLARARASI DIŞ TİCARET LİMİTED ŞİRKETİ,ALSANCAK MAH. 1470 SK. ALİ HAN NO: 5 İÇ KAPI NO: 103 KONAK / İZMİR
731911,85496,LİMİTED,İTOB OSB,MENDERES,66,İNŞAAT MALZEMELERİ GRUBU,AFA KOLOR BOYA YAPI MALZEMELERİ VE GIDA İNŞAAT TAAHHÜT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,İTOB OSB MAHALLESİ 10014 SOKAK NO:24 MENDERES / İZMİR
2101101,224155,LİMİTED,ZAFER,BUCA,66,İNŞAAT MALZEMELERİ GRUBU,AFRAM YAPI KİMYASALLARI İNŞAAT MİMARLIK ÜRETİM SANAYİ VE TİCARET LİMİTED ŞİRKETİ,ZAFER MAHALLESİ 2370/1 SK. NO:14 BUCA / İZMİR
2257551,239918,LİMİTED,AKDENİZ,KONAK,66,İNŞAAT MALZEMELERİ GRUBU,AGAVE İNŞAAT MALZEMELERİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ,AKDENİZ MAH. ŞEHİT FETHİBEY CAD. HERİS TOWER BLOK NO: 55 İÇ KAPI NO: 091 KONAK / İZMİR
1712191,185048,LİMİTED,KARACAOĞLAN,BORNOVA,66,İNŞAAT MALZEMELERİ GRUBU,AGRO-SANİTA DIŞ TİCARET LİMİTED ŞİRKETİ BORNOVA ŞUBESİ ,KARACAOĞLAN MAHALLESİ 6167 SOKAK NO:44/C BORNOVA / İZMİR
2104291,224483,LİMİTED,ÇINARLI,KONAK,66,İNŞAAT MALZEMELERİ GRUBU,AGS FACADE METAL SİSTEMLERİ DIŞ TİCARET LİMİTED ŞİRKETİ İZMİR ŞUBESİ,ÇINARLI MAHALLESİ OZAN ABAY CADDESİ NO:10/73 EGEPERLA BLOK KONAK / İZMİR
