Oda Sicil No,Ticari Sicil No,Şirket Türü,Mahalle Adı,İlçe Adı,Meslek Grubu Numarası,Meslek Grubu Adı,Ünvanı,Tescilli Adresi
901051,99179,LİMİTED,KARABAĞLAR,KARABAĞLAR,24,MOBİLYA GRUBU,5KDİZAYN REKLAM MİMARLIK İNŞAAT TURİZM SANAYİ VE TİCARET LİMİTED ŞİRKETİ,KARABAĞLAR MAHALLESİ YEŞİLLİK CAD. NO: 306 /1/1 KARABAĞLAR / İZMİR
2221731,236307,LİMİTED,KÖRFEZ,BAYRAKLI,24,MOBİLYA GRUBU,7 MOTTO İHRACAT İTHALAT MOBİLYA AKSESUAR İNŞAAT VE SANAYİ TİCARET LİMİTED ŞİRKETİ,KÖRFEZ MAHALLESİ 7383 SOKAK KYAKA KÖRFEZ EVLERI SİTESİ YAKAMOZ APARTMANI BAYRAKLI / İZMİR
2299745,249668,LİMİTED,ADALET,BAYRAKLI,24,MOBİLYA GRUBU,A H B MOBİLYA İTHALAT İHRACAT VE TİCARET LİMİTED ŞİRKETİ,ADALET MAH. ŞEHİT POLİS FETHİ SEKİN CAD. GÜREL İŞ MERKEZİ NO: 2 İÇ KAPI NO: 108 BAYRAKLI / İZMİR
1200711,81887,ANONİM,AOSB,ÇİĞLİ,24,MOBİLYA GRUBU,ACA MOBİLYA AMBALAJ VE KAĞIT ÜRÜNLERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,AOSB MAH. 10002 SK. NO: 40 ÇİĞLİ / İZMİR
2304009,253953,LİMİTED,YEŞİLBAĞLAR,BUCA,24,MOBİLYA GRUBU,ACAR MODEL MOBİLYA TASARIM ORMAN ÜRÜNLERİ İNŞAAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,YEŞİLBAĞLAR MAH. 292/35 SK. NO: 31A BUCA / İZMİR
1790531,192861,ANONİM,AŞIK VEYSEL,KARABAĞLAR,24,MOBİLYA GRUBU,ADA OKUL YAPI DONANIMLARI İNŞAAT GIDA SANAYİ VE TİCARET ANONİM  ŞİRKETİ,AŞIK VEYSEL MAHALLESİ 5825 SK. NO:25/A/B KARABAĞLAR / İZMİR
2300226,250140,ANONİM,BAHÇELERARASI,BALÇOVA,24,MOBİLYA GRUBU,ADORE MOBİLYA SANAYİ VE DIŞ TİCARET ANONİM ŞİRKETİ BALÇOVA KİPA ŞUBESİ,BAHÇELERARASI MAH. MİTHATPAŞA CAD. NO: 46 İÇ KAPI NO: Z15 BALÇOVA / İZMİR
2158851,229962,ANONİM,ATAŞEHİR,ÇİĞLİ,24,MOBİLYA GRUBU,ADORE MOBİLYA SANAYİ VE DIŞ TİCARET ANONİM ŞİRKETİ ÇİĞLİ ŞUBESİ,ATAŞEHİR MAHALLESİ YENİHAVAALANI CADDESİ ÇİĞLİ KİPA BLOK NO: 40 İÇ KAPI NO: Z53 ÇİĞLİ / İZMİR
2221971,236323,ANONİM,OĞLANANASI ATATÜRK,MENDERES,24,MOBİLYA GRUBU,ADORE MOBİLYA SANAYİ VE DIŞ TİCARET ANONİM ŞİRKETİ KISIKKÖY ŞUBESİ ,OĞLANANASI ATATÜRK MAHALLESİ MEHMET AKİF CAD. NO:9 MENDERES / İZMİR
2174351,231525,ANONİM,GÖRECE CUMHURİYET,MENDERES,24,MOBİLYA GRUBU,ADORE MOBİLYA SANAYİ VE DIŞ TİCARET ANONİM ŞİRKETİ MENDERES ŞUBESİ,GÖRECE CUMHURİYET MAHALLESİ GÜLÇIRPI CAD. SINTAC DEPOLARI BLOK NO: 29/2 İÇ KAPI NO: 1 MENDERES / İZMİR
