Oda Sicil No,Ticari Sicil No,Şirket Türü,Mahalle Adı,İlçe Adı,Meslek Grubu Numarası,Meslek Grubu Adı,Ünvanı,Tescilli Adresi
2118431,225902,LİMİTED,ÇINARLI,KONAK,39,BİLGİSAYAR VE DONANIM TEKNOLOJİLERİ GRUBU,2BAYT YAZILIM TEKNOLOJİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ,ÇINARLI MAHALLESİ 1572 SK. NO:33 KONAK / İZMİR
2153461,229423,ANONİM,MANSUROĞLU,BAYRAKLI,39,BİLGİSAYAR VE DONANIM TEKNOLOJİLERİ GRUBU,2MBT TEKNOLOJİ HİZMETLERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,MANSUROĞLU MAH. 288/4 SK. NO: 9/1 İÇ KAPI NO: 71 BAYRAKLI / İZMİR
917671,101735,LİMİTED,ETİLER,KONAK,39,BİLGİSAYAR VE DONANIM TEKNOLOJİLERİ GRUBU,2S BİLGİSAYAR İTHALAT İHRACAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,ETİLER MAH. 1265 SK. ETİ İŞ MERKEZİ BLOK NO: 10 İÇ KAPI NO: 41 KONAK / İZMİR
2300479,250406,LİMİTED,ÇINARLI,KONAK,39,BİLGİSAYAR VE DONANIM TEKNOLOJİLERİ GRUBU,3 ARTI 1 MİMARLIK VE BİLİŞİM LİMİTED ŞİRKETİ,ÇINARLI MAH. OZAN ABAY CAD. EGEPERLA NO: 8 İÇ KAPI NO: Z17 KONAK / İZMİR
2238811,238030,LİMİTED,CENNETOĞLU,KARABAĞLAR,39,BİLGİSAYAR VE DONANIM TEKNOLOJİLERİ GRUBU,3DENTAL KİMYA SANAYİ TİCARET İTHALAT İHRACAT LİMİTED ŞİRKETİ ,CENNETOĞLU MAHALLESİ YEŞİLLİK CAD. SELGEÇEN MODEKO BLOK NO: 228-230 DAİRE:236 KARABAĞLAR / İZMİR
1765671,190343,ANONİM,BUCAOSB,BUCA,39,BİLGİSAYAR VE DONANIM TEKNOLOJİLERİ GRUBU,3M1D BİLİŞİM ENERJİ İNŞAAT GIDA TARIM HAYVANCILIK SANAYİ VE TİCARET ANONİM ŞİRKETİ,BUCAOSB MAHALLESİ 2/20 SK. BEGOS SİTESİ NO: 31 /1 BUCA / İZMİR
718101,84702,ANONİM,İSMET KAPTAN,KONAK,39,BİLGİSAYAR VE DONANIM TEKNOLOJİLERİ GRUBU,ADAPA BİLGİ SİSTEMLERİ TURİZM SANAYİ VE TİCARET ANONİM ŞİRKETİ ,İSMET KAPTAN MAHALLESİ 1370 SOK. YALAY IŞ MERKEZI BLOK NO: 42 İÇ KAPI NO: 61 KONAK / İZMİR
1679931,181884,LİMİTED,ÇATALKAYA,NARLIDERE,39,BİLGİSAYAR VE DONANIM TEKNOLOJİLERİ GRUBU,ADENPLUS YAZILIM HİZMETLERİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ ,ÇATALKAYA MAHALLESİ ALİ ÖZÜTEMİZ SOKAK MÜRSEL BLOK NO: 4A NARLIDERE / İZMİR
2087551,222800,LİMİTED,BALATÇIK,ÇİĞLİ,39,BİLGİSAYAR VE DONANIM TEKNOLOJİLERİ GRUBU,ADIMSOFT YAZILIM TİCARET LİMİTED ŞİRKETİ,BALATÇIK MAH. 8911/2 SK. NO: 12A ÇİĞLİ / İZMİR
2181791,232282,LİMİTED,AKDENİZ,KONAK,39,BİLGİSAYAR VE DONANIM TEKNOLOJİLERİ GRUBU,ADİGE ELEKTRİK ELEKTRONİK SANAYİ TİCARET LİMİTED ŞİRKETİ ,AKDENİZ MAHALLESİ ŞEHİT FETHİBEY CADDESİ HERİS TOWER BLOK NO: 55 İÇ KAPI NO: 091 KONAK / İZMİR
