Oda Sicil No,Ticari Sicil No,Şirket Türü,Mahalle Adı,İlçe Adı,Meslek Grubu Numarası,Meslek Grubu Adı,Ünvanı,Tescilli Adresi
563401,73878,LİMİTED,CUMHURİYET,KEMALPAŞA,75,PLASTİK GRUBU,2002 PLASTİK AMBALAJ TEKSTİL SANAYİ VE TİCARET LİMİTED ŞİRKETİ ,CUMHURİYET MAHALLESİ 9138 SOKAK NO:5 ULUCAK KEMALPAŞA / İZMİR
2029301,216958,LİMİTED,AOSB,ÇİĞLİ,75,PLASTİK GRUBU,A PLEKS YAPI VE REKLAM MALZEMELERİ İNŞAAT SANAYİ TİCARET LİMİTED  ŞİRKETİ,AOSB MAHALLESİ 10001 SK. NO:21 KMS Apt. ÇİĞLİ / İZMİR
2250251,239180,LİMİTED,KEMALPAŞA,BORNOVA,75,PLASTİK GRUBU,A PLUS PAKETLEME AMBALAJ KİMYA İTHALAT İHRACAT TİCARET VE SANAYİ LİMİTED ŞİRKETİ,KEMALPAŞA MAHALLESİ 7087 SOKAK NO:26/A BORNOVA / İZMİR
2056411,219672,ANONİM,ADALET,BAYRAKLI,75,PLASTİK GRUBU,ADBER ENERJİ TURİZM İNŞAAT SANAYİ TİCARET ANONİM ŞİRKETİ,ADALET MAH. MANAS BUL. FOLKART TOWERS BLOK NO: 47B İÇ KAPI NO: 2601 BAYRAKLI / İZMİR
1970851,211058,LİMİTED,ADALET,BAYRAKLI,75,PLASTİK GRUBU,ADN PLASTİK İNŞAAT GIDA İTHALAT İHRACAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,ADALET MAH. MANAS BUL. NO: 39 İÇ KAPI NO: 2702 BAYRAKLI / İZMİR
2307950,257911,LİMİTED,AOSB,ÇİĞLİ,75,PLASTİK GRUBU,AEGEAN TİCARET YAPI MALZEMELERİ VE GIDA SANAYİ DIŞ TİCARET LİMİTED ŞİRKETİ,AOSB MAH. 10027 SK. NO: 11 ÇİĞLİ / İZMİR
895781,99293,ANONİM,ZAFER SB,GAZİEMİR,75,PLASTİK GRUBU,AERO RÜZGAR ENDÜSTRİSİ ANONİM ŞİRKETİ ,ZAFER SB MAHALLESİ YALÇIN YOLU CAD. NO:13 GAZİEMİR / İZMİR
1961711,210141,LİMİTED,HALKAPINAR,KONAK,75,PLASTİK GRUBU,AFRİKA AMBALAJ SANAYİ VE TİCARET LİMİTED ŞİRKETİ ,HALKAPINAR MAHALLESİ 1082 SOKAK İNŞAAT İŞMERKEZİ Apt. NO: 1 F KONAK / İZMİR
2079291,221815,LİMİTED,ZAFER,BUCA,75,PLASTİK GRUBU,AGROPAK AMBALAJ TARIM HAYVANCILIK İNŞAAT TİCARET LİMİTED ŞİRKETİ  İZMİR 2 ŞUBESİ,ZAFER MAHALLESİ 2366 SK. NO:2 BUCA / İZMİR
1818391,195512,ANONİM,ETİLER,KONAK,75,PLASTİK GRUBU,AKAL BATU TEKSTİL AMBALAJ SANAYİ VE TİCARET ANONİM ŞİRKETİ İZMİR  ŞUBESİ,ETİLER MAHALLESİ 1266 SOKAK NO:4 KONAK / İZMİR
1830781,196924,ANONİM,AOSB,ÇİĞLİ,75,PLASTİK GRUBU,AKFEM SANAYİ İNŞAAT VE TİCARET ANONİM ŞİRKETİ HEDEF ÇİĞLİ ŞUBESİ,AOSB MAHALLESİ 10027 SK. NO:4 ÇİĞLİ / İZMİR
1360311,149016,LİMİTED,YALI,KARŞIYAKA,75,PLASTİK GRUBU,AKRO AMBALAJ GIDA DANIŞMANLIK SANAYİ VE TİCARET LİMİTED ŞİRKETİ,YALI MAHALLESİ 6523 SK. NO: 32 B/217 KARŞIYAKA/İZMİR
2292681,243474,LİMİTED,ADALET,BAYRAKLI,75,PLASTİK GRUBU,AKTAŞ EGE AMBALAJ VE GIDA PAZARLAMA SANAYİ TİCARET LİMİTED ŞİRKETİ,ADALET MAHALLESİ MANAS BUL. NO:39 DAİRE:2511 BAYRAKLI / İZMİR
1791881,192984,LİMİTED,EMREZ,GAZİEMİR,75,PLASTİK GRUBU,AKTAŞPEN PLASTİK ALÜMİNYUM MOBİLYA İNŞAAT TURİZM İTHALAT İHRACAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,EMREZ MAHALLESİ 215 SOKAK NO:10/10 GAZİEMİR / İZMİR
488561,66972,LİMİTED,SEYHAN,BUCA,75,PLASTİK GRUBU,AKTEKİN MÜHENDİSLİK-PLASTİK AMBALAJ SANAYİ VE TİCARET LİMİTED ŞİRKETİ,SEYHAN MAHALLESİ 667/4 SK. NO: 2 BUCA/İZMİR
2254321,239591,LİMİTED,ATATÜRK,BORNOVA,75,PLASTİK GRUBU,AKUVA YEŞİL ENERJİ AMBALAJ PLASTİK VE TEMİZLİK ÜRÜNLERİ SANAYİ VE  TİCARET LİMİTED ŞİRKETİ,ATATÜRK MAHALLESİ FEHMİ YİĞİN CAD. NO: 12A BORNOVA / İZMİR
1978761,211849,LİMİTED,MANSUROĞLU,BAYRAKLI,75,PLASTİK GRUBU,AKVA POLİMER SANAYİ VE TİCARET LİMİTED ŞİRKETİ İZMİR BAYRAKLI ŞUBESİ,MANSUROĞLU MAHALLESİ 286/3 SOK. NO:3/40 BAYRAKLI / İZMİR
1234691,136585,LİMİTED,MENDERES,BUCA,75,PLASTİK GRUBU,AKYÜKSEL AMBALAJ PLASTİK VE KAĞIT ÜRÜNLERİ TEMİZLİK MALZEMELERİ PAZARLAMA SANAYİ TİCARET LİMİTED ŞİRKETİ,MENDERES MAH. ADNAN KAHVECİ CAD. B BLOK NO: 192B BUCA / İZMİR
1720761,185903,ANONİM,ALAÇATI,ÇEŞME,75,PLASTİK GRUBU,ALAÇATI TEKNİKEL ALÜMİNYUM İNŞAAT TURİZM GIDA SANAYİ VE TİCARET  ANONİM ŞİRKETİ,ALAÇATI MAHALLESİ 16004 SK. NO: 4 C ÇEŞME / İZMİR
1684841,182366,LİMİTED,AYDIN,KARABAĞLAR,75,PLASTİK GRUBU,ALI FININVEST KİMYA İTHALAT İHRACAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ ,AYDIN MAHALLESİ 4324 SK. NO:23/1 KARABAĞLAR / İZMİR
2088511,222849,ANONİM,FATİH,GAZİEMİR,75,PLASTİK GRUBU,ALM ALÜMİNYUM MARKET ANONİM ŞİRKETİ İZMİR ŞUBESİ,FATİH MAHALLESİ 1187 SOKAK NO:10/B GAZİEMİR / İZMİR
2166531,230741,LİMİTED,ZAFER,BUCA,75,PLASTİK GRUBU,ALMED YAPI PVC ALÜMİNYUM CAM MOBİLYA TEKSTİL İNŞAAT TURİZM İTHALAT İHRACAT SANAYİ LİMİTED ŞİRKETİ,ZAFER MAH. TURGUT ÖZAL CAD. FADİME TOKAÇ NO: 97 BUCA / İZMİR
1811911,195034,LİMİTED,DOKUZ EYLÜL,GAZİEMİR,75,PLASTİK GRUBU,ALYA KOMPOZİT LİMİTED ŞİRKETİ,DOKUZ EYLÜL MAHALLESİ 694 SK. NO: 4 /A/1 GAZİEMİR/İZMİR
2284991,242696,LİMİTED,ŞİRİNTEPE,ÇİĞLİ,75,PLASTİK GRUBU,AMBALAJ35 OFİS KIRTASİYE TEMİZLİK VE TEKSTİL ÜRÜNLERİ SANAYİ TİCARET  LİMİTED ŞİRKETİ,ŞİRİNTEPE MAHALLESİ 8122/1 SK. NO:3 ÇİĞLİ / İZMİR
1052411,117329,LİMİTED,KEMALPAŞA,BORNOVA,75,PLASTİK GRUBU,AMG-PLAST SANAYİ VE TİCARET LİMİTED ŞİRKETİ,KEMALPAŞA MAH. 7411 SK. PINAR DÖKÜM SİTESİ NO: 2 BORNOVA / İZMİR
1083341,120877,ANONİM,MEHMET AKİF ERSOY,KEMALPAŞA,75,PLASTİK GRUBU,AMROS MAKİNA AMBALAJ İNŞAAT SANAYİ VE TİCARET ANONİM ŞİRKETİ,MEHMET AKİF ERSOY MAH. 1.ÖTEYAKA KÜMEEVLERİ NO:67/E KEMALPAŞA/İZMİR
2248741,239029,LİMİTED,HALKAPINAR,KONAK,75,PLASTİK GRUBU,ANADOLU ÇINAR AMBALAJ SANAYİ VE TİCARET LİMİTED ŞİRKETİ ,HALKAPINAR MAHALLESİ 1202/1 SK. İNŞAATÇILAR İŞHANI BLOK NO:69 İÇ KAPI NO:208 KONAK / İZMİR
2011751,215188,LİMİTED,ÇAMLIPINAR,BUCA,75,PLASTİK GRUBU,ANADOLU EFE AMBALAJ SANAYİ VE TİCARET LİMİTED ŞİRKETİ,ÇAMLIPINAR MAHALLESİ 293/33 SK. NO:12/B/B BUCA / İZMİR
1368781,149824,LİMİTED,ATAKENT,KARŞIYAKA,75,PLASTİK GRUBU,ANATOLİ  AMBALAJ SANAYİ VE TİCARET LİMİTED ŞİRKETİ ,ATAKENT MAHALLESİ 6342/2 SK. NO: 3/8 KARŞIYAKA / İZMİR
2302708,252644,LİMİTED,MALTEPE,GÜZELBAHÇE,75,PLASTİK GRUBU,ANC AMBALAJ SANAYİ VE TİCARET LİMİTED ŞİRKETİ,MALTEPE MAH. 72 SK. C BLOK NO: 2C1 GÜZELBAHÇE / İZMİR
1284691,141850,LİMİTED,YUNUS EMRE,BORNOVA,75,PLASTİK GRUBU,ANKOR PLASTİK VE AMBALAJ SANAYİ TİCARET LİMİTED ŞİRKETİ,YUNUS EMRE MAH. 7513/2 SK. NO: 1D BORNOVA / İZMİR
844501,92265,ANONİM,KARACAOĞLAN,BORNOVA,75,PLASTİK GRUBU,ANS EGEPOL PLASTİK AMBALAJ  SANAYİ VE TİCARET ANONİM ŞİRKETİ ,KARACAOĞLAN MAHALLESİ 6167 SOK NO:44 IŞIKKENT BORNOVA / İZMİR
2025231,216537,ANONİM,İTOB OSB,MENDERES,75,PLASTİK GRUBU,ANS EGEPOL PLASTİK AMBALAJ SANAYİ VE TİCARET ANONİM ŞİRKETİ FABRİKA ŞUBESİ,İTOB OSB MAHALLESİ 10030 SK. NO:11 MENDERES / İZMİR
2298045,247969,LİMİTED,EGEMENLİK,BORNOVA,75,PLASTİK GRUBU,ANSE ETİKET PLASTİK KAUÇUK AYAKKABI SANAYİ VE TİCARET LİMİTED ŞİRKETİ,EGEMENLİK MAH. 6129 SK. NO: 38 BORNOVA / İZMİR
2306722,256682,LİMİTED,SEYHAN,BUCA,75,PLASTİK GRUBU,ANTARES AMBALAJ PLASTİK KİMYASAL İNŞAAT MALZEMELERİ TİCARET LİMİTED ŞİRKETİ,SEYHAN MAH. 663/1 SK. NO: 31 BUCA / İZMİR
1706871,184513,LİMİTED,KEMALPAŞA,BORNOVA,75,PLASTİK GRUBU,APAK PLASTİK AMBALAJ ÜRÜNLERİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ ,KEMALPAŞA MAHALLESİ ÇANAKKALE CADDESI NO:38/1B BORNOVA / İZMİR
2296645,246560,ANONİM,ÇAMLIÇAY,URLA,75,PLASTİK GRUBU,APPİAN YAPI ANONİM ŞİRKETİ,ÇAMLIÇAY MAH. MAREŞAL FEVZİ ÇAKMAK BUL. NO: 13A URLA / İZMİR
1681171,182018,LİMİTED,GÖLCÜKLER,MENDERES,75,PLASTİK GRUBU,ARBE FİBERENDÜSTRİ OTOMOTİV FİBERGLAS DEMİRYOLU SANAYİ VE TİCARET LİMİTED ŞİRKETİ,GÖLCÜKLER MAHALLESİ 795 SK. NO:15 MENDERES / İZMİR
1805271,194351,LİMİTED,KÜÇÜK ÇİĞLİ,ÇİĞLİ,75,PLASTİK GRUBU,ARD MAKİNE MONTAJ İNŞAAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,KÜÇÜK ÇİĞLİ MAHALLESİ 8780/7 SK. NO: 2/ ÇİĞLİ/İZMİR
1163621,129479,LİMİTED,AKALAN,KEMALPAŞA,75,PLASTİK GRUBU,ARDAN PLASTİK SOĞUK HAVA DEPOSU İŞLETMECİLİĞİ TARIM ÜRÜNLERİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ,AKALAN MAHALLESİ AKALAN İSTİKLAL KÜMEEVLERİ NO:115/3 AMBARKAVAK MEVKİİ KEMALPAŞA / İZMİR
1555371,168172,ANONİM,ZAFER SB,GAZİEMİR,75,PLASTİK GRUBU,ARDE HIZLI KAPI SİSTEMLERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,ZAFER SB MAH. AYHAN SK. NO: 22C İÇ KAPI NO: 4 GAZİEMİR / İZMİR
2303809,253750,LİMİTED,İNÖNÜ,KARŞIYAKA,75,PLASTİK GRUBU,AREF GROUP İTHALAT İHRACAT VE SANAYİ TİCARET LİMİTED ŞİRKETİ,İNÖNÜ MAH. 6732/3 SK. NO: 3F İÇ KAPI NO: 1 KARŞIYAKA / İZMİR
1912221,205140,LİMİTED,ATAKENT,KARŞIYAKA,75,PLASTİK GRUBU,ARİA AMBALAJ SANAYİ VE TİCARET LİMİTED ŞİRKETİ,ATAKENT MAHALLESİ 6342/2 SK. NO: 3/8 KARŞIYAKA/İZMİR
2307363,257318,ANONİM,AKDENİZ,KONAK,75,PLASTİK GRUBU,ARKA SIVI TAŞIMA SİSTEMLERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,AKDENİZ MAH. GAZİ OSMAN PAŞA BUL. İBRAHİM TANYALÇIN NO: 2 İÇ KAPI NO: 1 KONAK / İZMİR
2235801,237726,LİMİTED,ZAFER,BUCA,75,PLASTİK GRUBU,ARKADAŞ ALÜMİNYUM SANAYİ VE TİCARET LİMİTED ŞİRKETİ,ZAFER MAH. 2349 SK. NO: 1A BUCA / İZMİR
1944701,208402,LİMİTED,GÜRPINAR,BORNOVA,75,PLASTİK GRUBU,ARSLAN OTO CONTA İMALATI SANAYİ VE TİCARET LİMİTED ŞİRKETİ ,GÜRPINAR MAHALLESİ 7232/6 SOK. AY-KOOP SİT. 6A APT. NO: 7 A BORNOVA / İZMİR
1979251,211909,LİMİTED,MALİYECİLER,KARABAĞLAR,75,PLASTİK GRUBU,ARSLANOĞLU AMBALAJ TURİZM GIDA MAKİNA İNŞAAT SANAYİ TİCARET LİMİTED ŞİRKETİ,MALİYECİLER MAHALLESİ İHSAN ALYANAK BLV. ÇAMLIKENT SİT. NO: 83/16 KARABAĞLAR/İZMİR
1641661,178036,LİMİTED,TUNA,BORNOVA,75,PLASTİK GRUBU,ARTI POLİÜRETAN KAUÇUK İMALAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ ,TUNA MAHALLESİ 5615 SOKAK NO:7 BORNOVA / İZMİR
2268411,241017,ANONİM,YENİŞEHİR,KONAK,75,PLASTİK GRUBU,ARTIPAK AMBALAJ TURİZM SANAYİ VE TİCARET ANONİM ŞİRKETİ,YENİŞEHİR MAH. 1145/7 SK. NO: 1G KONAK / İZMİR
1588661,172721,LİMİTED,OĞLANANASI ATATÜRK,MENDERES,75,PLASTİK GRUBU,ASD MEKATRONİK MAKİNA KALIP İTHALAT VE İHRACAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,OĞLANANASI ATATÜRK MAHALLESİ 2 CAD NO:123 MENDERES / İZMİR
2214221,235546,LİMİTED,EGEMENLİK,BORNOVA,75,PLASTİK GRUBU,ASENA LASTİK PLASTİK VE OTOMOTİV SANAYİ TİCARET LİMİTED ŞİRKETİ ,EGEMENLİK MAHALLESİ 6131 SOKAK NO:7/A BORNOVA / İZMİR
1561211,168776,ANONİM,KARACAOĞLAN,BORNOVA,75,PLASTİK GRUBU,ASİL PLAST POLİMER PLASTİK ÜRÜNLERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,KARACAOĞLAN MAHALLESİ 6171/2 SOKAK NO:2/1 BORNOVA / İZMİR
2261971,240366,LİMİTED,SEYHAN,BUCA,75,PLASTİK GRUBU,ASK PLASTİK İÇ VE DIŞ TİCARET SANAYİ LİMİTED ŞİRKETİ,SEYHAN MAH. 719 SK. NO: 38A İÇ KAPI NO: A BUCA / İZMİR
2135361,227603,LİMİTED,KEMALPAŞA O.S.B.,KEMALPAŞA,75,PLASTİK GRUBU,ASTRID AYAKKABI KONFEKSİYON VE BİLİŞİM SANAYİ TİCARET LİMİTED ŞİRKETİ ,KEMALPAŞA O.S.B. MAHALLESİ İZMİR ANKARA ASFALTI CD. ONSA MOBILYA BLOK NO: 3 İÇ KAPI NO: 1 KEMALPAŞA / İZMİR
2246691,238824,LİMİTED,ADALET,BAYRAKLI,75,PLASTİK GRUBU,ATABOR PLASTİK İNŞAAT HAYVANCILIK HURDA HIRDAVAT DANIŞMANLIK İTHALAT İHRACAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,ADALET MAH. MANAS BUL. FOLKART TOWERS BLOK NO: 47B İÇ KAPI NO: 2809 BAYRAKLI / İZMİR
2129991,227067,LİMİTED,KEMALPAŞA,BORNOVA,75,PLASTİK GRUBU,ATAKAN PACK TEKSTİL DIŞ TİCARET LİMİTED ŞİRKETİ ,KEMALPAŞA MAHALLESİ 7100 SOKAK NO: 21 BORNOVA / İZMİR
2120541,226118,LİMİTED,HALKAPINAR,KONAK,75,PLASTİK GRUBU,ATEŞ AMBALAJ SANAYİ VE TİCARET LİMİTED ŞİRKETİ ,HALKAPINAR MAHALLESİ 1203/1 SK NO: 25C KONAK / İZMİR
1327011,145852,LİMİTED,TÜRKYILMAZ,KONAK,75,PLASTİK GRUBU,ATEŞOĞLU PVC ALÜMİNYUM DOĞRAMA İNŞAAT İNŞAAT MALZEMELERİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ,TÜRKYILMAZ MAHALLESİ 436 SOKAK NO:49/A KONAK/İZMİR
