Oda Sicil No,Ticari Sicil No,Şirket Türü,Mahalle Adı,İlçe Adı,Meslek Grubu Numarası,Meslek Grubu Adı,Ünvanı,Tescilli Adresi
2196751,233791,LİMİTED,EVKA 3,BORNOVA,63,"DEMİR ÇELİK, ALÜMİNYUM VE DÖKÜM GRUBU",A GRUP METAL CASTİNG CNC TORNA İŞLERİ İTHALAT İHRACAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,EVKA 3 MAH. 129/14 SK. NO: 10 BORNOVA / İZMİR
1649601,178813,LİMİTED,GÖRECE CUMHURİYET,MENDERES,63,"DEMİR ÇELİK, ALÜMİNYUM VE DÖKÜM GRUBU",A3 AMBALAJ SANAYİ VE DIŞ TİCARET LİMİTED ŞİRKETİ ,GÖRECE CUMHURİYET MAH. MAHALLESİ 5120 SOK. NO:3/A/F A APT. MENDERES / İZMİR
2294220,244119,ANONİM,EGEMENLİK,BORNOVA,63,"DEMİR ÇELİK, ALÜMİNYUM VE DÖKÜM GRUBU",ABDS ALÜMİNYUM BASINÇLI DÖKÜM SANAYİ VE TİCARET ANONİM ŞİRKETİ,EGEMENLİK MAH. 6106/1 SK. DÖKÜMCÜLER SİTESİ BLOK NO: 10 BORNOVA / İZMİR
208771,3071,LİMİTED,DOĞANLAR,BORNOVA,63,"DEMİR ÇELİK, ALÜMİNYUM VE DÖKÜM GRUBU",ACARLAR DEMİR PROFİL İNŞAAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ ,DOĞANLAR MAHALLESİ 1401/1 SOKAK NO:2/2-C BORNOVA / İZMİR
2134481,227499,ANONİM,NALDÖKEN,BORNOVA,63,"DEMİR ÇELİK, ALÜMİNYUM VE DÖKÜM GRUBU",ACLASS VASIFLI ÇELİK ANONİM ŞİRKETİ,NALDÖKEN MAH. 129/24 SK. NO: 6 BORNOVA / İZMİR
2012551,215267,LİMİTED,EVKA 3,BORNOVA,63,"DEMİR ÇELİK, ALÜMİNYUM VE DÖKÜM GRUBU",ADEL DÖKÜM MAKİNE YEDEK PARÇA SANAYİ VE TİCARET LİMİTED ŞİRKETİ,EVKA 3 MAHALLESİ 129/15 SK. NO: 14 BORNOVA/İZMİR
2302074,252006,LİMİTED,EGEMENLİK,BORNOVA,63,"DEMİR ÇELİK, ALÜMİNYUM VE DÖKÜM GRUBU",ADS METALURJİ ALÜMİNYUM DÖKÜM SANAYİ VE TİCARET LİMİTED ŞİRKETİ,EGEMENLİK MAH. 6106/1 SK. NO: 34 BORNOVA / İZMİR
2139031,227972,LİMİTED,EGEMENLİK,BORNOVA,63,"DEMİR ÇELİK, ALÜMİNYUM VE DÖKÜM GRUBU",AGAFA MÜHENDİSLİK DANIŞMANLIK SANAYİ VE TİCARET LİMİTED ŞİRKETİ İZMİR DÖKÜMHANE ŞUBESİ,EGEMENLİK MAH. 6106/4 SK. NO: 22 BORNOVA / İZMİR
2229301,237068,LİMİTED,ATIFBEY,GAZİEMİR,63,"DEMİR ÇELİK, ALÜMİNYUM VE DÖKÜM GRUBU",AKBEY PROFİL DEMİR ÇELİK İNŞAAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,ATIFBEY MAH. 11/5 SK. NO: 5 İÇ KAPI NO: 6 GAZİEMİR / İZMİR
1581891,171971,LİMİTED,9 EYLÜL,GAZİEMİR,63,"DEMİR ÇELİK, ALÜMİNYUM VE DÖKÜM GRUBU",AKMERCAN DEMİR ÇELİK NAKLİYE İNŞAAT TAAHHÜT VE İNŞAAT MALZEMELERİ TEKSTİL SANAYİ TİCARET LİMİTED ŞİRKETİ,9 EYLÜL MAHALLESİ 692 SOK. NO:5 GAZİEMİR / İZMİR
2299331,249255,LİMİTED,ADALET,BAYRAKLI,63,"DEMİR ÇELİK, ALÜMİNYUM VE DÖKÜM GRUBU",AKTAN ORGANİZASYON DEMİR ÇELİK METAL İNŞAAT SANAYİ PAZARLAMA LİMİTED ŞİRKETİ,ADALET MAH. MANAS BUL. FOLKART TOWERS NO: 47B İÇ KAPI NO: 2601 BAYRAKLI / İZMİR
1240021,137012,LİMİTED,SEYHAN,BUCA,63,"DEMİR ÇELİK, ALÜMİNYUM VE DÖKÜM GRUBU",AKYILDIZ FERFORJE PVC NAKLİYAT İNŞAAT TAAHHÜT ELEKTRİK TURİZM SANAYİ VE TİCARET LİMİTED ŞİRKETİ,SEYHAN MAH. 657 SK. NO: 17 İÇ KAPI NO: 1 BUCA / İZMİR
2295973,245880,LİMİTED,SEYHAN,BUCA,63,"DEMİR ÇELİK, ALÜMİNYUM VE DÖKÜM GRUBU",ALAYBEY DÖKÜM DEMİR ÇELİK İNŞAAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,SEYHAN MAH. 709 SK. NO: 58 İÇ KAPI NO: 101 BUCA / İZMİR
2279091,242093,ANONİM,KEMALPAŞA OSB,KEMALPAŞA,63,"DEMİR ÇELİK, ALÜMİNYUM VE DÖKÜM GRUBU",AL-ÇELİK MÜHENDİSLİK DANIŞMANLIK SANAYİ VE TİCARET ANONİM ŞİRKETİ  KEMALPAŞA ŞUBESİ,KEMALPAŞA OSB MAHALLESİ 604 SK. NO: 3 KEMALPAŞA / İZMİR
1881511,202063,LİMİTED,DOĞANLAR,BORNOVA,63,"DEMİR ÇELİK, ALÜMİNYUM VE DÖKÜM GRUBU",ALFA GRUP SANAYİ VE TİCARET LİMİTED ŞİRKETİ,DOĞANLAR MAH. 1574/4 SK. NO: 5 BORNOVA / İZMİR
