Oda Sicil No,Ticari Sicil No,Şirket Türü,Mahalle Adı,İlçe Adı,Meslek Grubu Numarası,Meslek Grubu Adı,Ünvanı,Tescilli Adresi
1826891,196551,ANONİM,ALSANCAK,KONAK,50,LOJİSTİK VE GÜMRÜK MÜŞAVİRLİĞİ GRUBU,2M YETKİLENDİRİLMİŞ GÜMRÜK MÜŞAVİRLİĞİ VE DANIŞMANLIK HİZMETLERİ ANONİM ŞİRKETİ,ALSANCAK MAH. 1476/1 SK. SEVİL BLOK NO: 7 İÇ KAPI NO: 47 KONAK / İZMİR
2106881,224746,LİMİTED,ALSANCAK,KONAK,50,LOJİSTİK VE GÜMRÜK MÜŞAVİRLİĞİ GRUBU,3K BİLİŞİM BİLGİSAYAR İNŞAAT OTOPARK SANAYİ VE TİCARET LİMİTED ŞİRKETİ ,ALSANCAK MAHALLESİ 1473 SOKAK OTOPARK BLOK NO: 1 KONAK / İZMİR
1882991,202218,ANONİM,DOKUZ EYLÜL,GAZİEMİR,50,LOJİSTİK VE GÜMRÜK MÜŞAVİRLİĞİ GRUBU,ADB VALE VE OTOPARK TİCARET ANONİM ŞİRKETİ ,DOKUZ EYLÜL MAHALLESİ AKÇAY CAD. NO:289 GAZİEMİR / İZMİR
706221,82375,LİMİTED,AKDENİZ,KONAK,50,LOJİSTİK VE GÜMRÜK MÜŞAVİRLİĞİ GRUBU,AEGEAN INTERNATIONAL INSPECTION EKSPERTİZ LİMİTED ŞİRKETİ ,AKDENİZ MAHALLESİ KAZIM DİRİK CD. NO:4 DAİRE:801/802 KAT:8 KONAK / İZMİR
1633941,177268,ANONİM,ALSANCAK,KONAK,50,LOJİSTİK VE GÜMRÜK MÜŞAVİRLİĞİ GRUBU,AEO GÜMRÜK VE DIŞ TİCARET DENETİM DANIŞMANLIK ANONİM ŞİRKETİ,ALSANCAK MAHALLESİ 1479 SK. NO: 8/Z02 KONAK/İZMİR
1772551,191053,ANONİM,UMURBEY,KONAK,50,LOJİSTİK VE GÜMRÜK MÜŞAVİRLİĞİ GRUBU,AFİ DENİZCİLİK YATIRIMLARI ANONİM ŞİRKETİ,"UMURBEY MAHALLESİ, LİMAN CADDESİ, NO: 38/1 NO:/ KONAK/İZMİR"
1853431,199209,ANONİM,ALSANCAK,KONAK,50,LOJİSTİK VE GÜMRÜK MÜŞAVİRLİĞİ GRUBU,AG ÖZBELGE GÜMRÜK MÜŞAVİRLİĞİ ANONİM ŞİRKETİ,ALSANCAK MAH. 1476 SK. AKSOY PLAZA BLOK NO: 2 İÇ KAPI NO: 61 KONAK / İZMİR
1887371,202651,LİMİTED,ALSANCAK,KONAK,50,LOJİSTİK VE GÜMRÜK MÜŞAVİRLİĞİ GRUBU,AKAN GLOBAL LOJİSTİK GÜMRÜKLEME VE MÜŞAVİRLİK TİCARET LİMİTED  ŞİRKETİ İZMİR ŞUBESİ,ALSANCAK MAHALLESİ ATATÜRK CAD. NO:372/1/1 KONAK / İZMİR
1344521,147576,LİMİTED,ALSANCAK,KONAK,50,LOJİSTİK VE GÜMRÜK MÜŞAVİRLİĞİ GRUBU,AKDENİZ GÜMRÜK MÜŞAVİRLİĞİ LİMİTED ŞİRKETİ ,ALSANCAK MAHALLESİ 1479 SK. KENET SİTESİ BLOK NO: 16 İÇ KAPI NO: 3 KONAK / İZMİR
1085421,121052,LİMİTED,HALKAPINAR,KONAK,50,LOJİSTİK VE GÜMRÜK MÜŞAVİRLİĞİ GRUBU,AKMANOĞLU GÜMRÜK MÜŞAVİRLİĞİ LİMİTED ŞİRKETİ ,HALKAPINAR MAHALLESİ 1203 SK. NO:13/1324 KONAK / İZMİR
2220191,236157,ANONİM,ALSANCAK,KONAK,50,LOJİSTİK VE GÜMRÜK MÜŞAVİRLİĞİ GRUBU,AKRAN GÜMRÜK MÜŞAVİRLİĞİ VE LOJİSTİK HİZMETLERİ ANONİM ŞİRKETİ,ALSANCAK MAH. 1456 SK. BERRİN AKSOY BLOK NO: 8 İÇ KAPI NO: 5 KONAK / İZMİR
