Oda Sicil No,Ticari Sicil No,Şirket Türü,Mahalle Adı,İlçe Adı,Meslek Grubu Numarası,Meslek Grubu Adı,Ünvanı,Tescilli Adresi
1790231,192823,LİMİTED,GAZİ,GAZİEMİR,67,İNŞAAT YAPIM VE ONARIM GRUBU,06 OTOMOTİV İNŞAAT TURİZM SANAYİ VE TİCARET LİMİTED ŞİRKETİ,GAZİ MAH. 16 SK. NO: 7A İÇ KAPI NO: 1 GAZİEMİR / İZMİR
1004451,112223,LİMİTED,FAHRETTİN ALTAY,KARABAĞLAR,67,İNŞAAT YAPIM VE ONARIM GRUBU,1000A MÜHENDİSLİK İNŞAAT TAAHHÜT LİMİTED ŞİRKETİ,FAHRETTİN ALTAY MAHALLESİ MEHMETÇİK BULVARI ORKİDE BLOK NO: 82 İÇ KAPI NO: 1 KARABAĞLAR / İZMİR
1731321,186919,LİMİTED,MANSUROĞLU,BAYRAKLI,67,İNŞAAT YAPIM VE ONARIM GRUBU,1453 ASİA EUROPA İNŞAAT PROJE GELİŞTİRME RESTORAN TURİZM SANAYİ VE TİCARET LİMİTED ŞİRKETİ,MANSUROĞLU MAHALLESİ 288/4 SK. NO:14/70 BAYRAKLI / İZMİR
1030551,114492,LİMİTED,SOĞUKKUYU,BAYRAKLI,67,İNŞAAT YAPIM VE ONARIM GRUBU,2004 İNŞAAT MÜHENDİSLİK MOBİLYA SANAYİ VE TİCARET LİMİTED ŞİRKETİ,SOĞUKKUYU MAH. 1848 SK. NO: 9A BAYRAKLI / İZMİR
1343511,147487,LİMİTED,YENİŞEHİR,KONAK,67,İNŞAAT YAPIM VE ONARIM GRUBU,2010 TEKNİK İNŞAAT MAKİNA MÜHENDİSLİK İKLİMLENDİRME MİMARLIK TESİSAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,YENİŞEHİR MAHALLESİ 1249 SOKAK NO:9/101 NO:/ KONAK/İZMİR
2111951,225249,LİMİTED,TELEFERİK,BALÇOVA,67,İNŞAAT YAPIM VE ONARIM GRUBU,232 PROJE İNŞAAT TAAHHÜT GIDA OTOMOTİV SANAYİ VE TİCARET LİMİTED ŞİRKETİ,TELEFERİK MAH. METİN OKTAY SK. NO: 31/1 BALÇOVA / İZMİR
1978381,211824,ANONİM,GÖZTEPE,KONAK,67,İNŞAAT YAPIM VE ONARIM GRUBU,2BEY MİMARLIK ELEKTRİK METAL İNŞAAT TAAHHÜT SANAYİ VE TİCARET ANONİM ŞİRKETİ,GÖZTEPE MAHALLESİ 88 SOKAK NEHIR BLOK NO: 24/1 İÇ KAPI NO: 4 KONAK / İZMİR
2303971,253920,LİMİTED,ÖRNEKKÖY,KARŞIYAKA,67,İNŞAAT YAPIM VE ONARIM GRUBU,2K PROJE MÜHENDİSLİK SANAYİ VE TİCARET LİMİTED ŞİRKETİ,ÖRNEKKÖY MAH. 1847/5 SK. NO: 55 İÇ KAPI NO: 3 KARŞIYAKA / İZMİR
1868621,200752,ANONİM,AKDENİZ,KONAK,67,İNŞAAT YAPIM VE ONARIM GRUBU,2K SPORTİF YAPI PEYZAJ İNŞAAT SANAYİ VE TİCARET ANONİM ŞİRKETİ,AKDENİZ MAHALLESİ 1353 SK. TANER İŞHANI APT. NO: 1/407 KONAK/İZMİR
2296081,245998,LİMİTED,ULUCAK İSTİKLAL,KEMALPAŞA,67,İNŞAAT YAPIM VE ONARIM GRUBU,2K ZEMİN SİSTEMLERİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ,ULUCAK İSTİKLAL MAH. ŞEHİT JND.UZ.ÇVŞ.RAMAZAN SALBAŞ CAD. NO: 47A KEMALPAŞA / İZMİR
1034321,115214,LİMİTED,BAHRİYE ÜÇOK,KARŞIYAKA,67,İNŞAAT YAPIM VE ONARIM GRUBU,2M KOZMETİK VE MEDİKAL ÜRÜNLER İNŞAAT TAAHHÜT İTHALAT İHRACAT SANAYİ TİCARET LİMİTED ŞİRKETİ,BAHRİYE ÜÇOK MAHALLESİ 1762 SK. İÇ KAPI NO:1 KARŞIYAKA / İZMİR
2301669,251601,LİMİTED,ARMUTLU HÜRRİYET,KEMALPAŞA,67,İNŞAAT YAPIM VE ONARIM GRUBU,35 AHŞAP ALIM SATIM ORMAN ÜRÜNLERİ SANAYİ TİCARET LİMİTED ŞİRKETİ,ARMUTLU HÜRRİYET MAH. KIRÇİÇEĞİ SK. NO: 1 İÇ KAPI NO: 1 KEMALPAŞA / İZMİR
2183991,232512,LİMİTED,GAZİ,GAZİEMİR,67,İNŞAAT YAPIM VE ONARIM GRUBU,35 GURABA İNŞAAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ ,GAZİ MAHALLESİ KEMAL REİS CAD. NO:33/A GAZİEMİR GAZİEMİR / İZMİR
2300191,250116,LİMİTED,ERZENE,BORNOVA,67,İNŞAAT YAPIM VE ONARIM GRUBU,35 ÖZDEMİR İNŞAAT TAAHHÜT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,ERZENE MAH. 6 SK. EMİNE HATUN NO: 6B BORNOVA / İZMİR
1668371,180717,ANONİM,DOKUZ EYLÜL,GAZİEMİR,67,İNŞAAT YAPIM VE ONARIM GRUBU,35PALM İNŞAAT SANAYİ VE TİCARET ANONİM ŞİRKETİ ,DOKUZ EYLÜL MAHALLESİ ÖNDER CAD. NO:38/102 GAZİEMİR / İZMİR
1656411,179505,LİMİTED,YALI,KARŞIYAKA,67,İNŞAAT YAPIM VE ONARIM GRUBU,35YAPI İNŞAAT TURİZM MOBİLYA GIDA SANAYİ VE TİCARET LİMİTED ŞİRKETİ,YALI MAHALLESİ AHMET KEMAL BAYSAK BLV. İNŞAAT APT. NO: 42/7 KARŞIYAKA/İZMİR
2050851,219113,LİMİTED,KÜÇÜK ÇİĞLİ,ÇİĞLİ,67,İNŞAAT YAPIM VE ONARIM GRUBU,3F YAPI İNŞAAT TAAHHÜT SANAYİ VE TİCARET LİMİTED ŞİRKETİ ,KÜÇÜK ÇİĞLİ MAHALLESİ 8708/1 SK. NO:1/1/2 ÇİĞLİ / İZMİR
1328241,145240,LİMİTED,BAHRİYE ÜÇOK,KARŞIYAKA,67,İNŞAAT YAPIM VE ONARIM GRUBU,3G PETROL MİMARLIK İNŞAAT TURİZM SANAYİ VE TİCARET LİMİTED ŞİRKETİ,BAHRİYE ÜÇOK MAHALLESİ BERİN TAŞAN SK. NO: 26/1 KARŞIYAKA/İZMİR
